GeneSymbol	A21_05_C3_P5_493883	A21_05_C3_P5_345125	A21_05_C3_P5_850110	A21_05_C3_P5_816526	A21_05_C3_P5_92064	A21_05_C3_P5_558392	A21_05_C3_P5_868588	A21_05_C3_P5_4302	A21_05_C3_P5_599498	A21_05_C3_P5_803125	A21_05_C3_P5_391515	A21_05_C3_P5_780528	A21_05_C3_P5_227561	A21_05_C3_P5_555196	A21_05_C3_P5_317321	A21_05_C3_P5_590491	A21_05_C3_P5_248342	A21_05_C3_P5_254486	A21_05_C3_P5_618931	A21_05_C3_P5_868547	A21_05_C3_P5_52551	A21_05_C3_P5_239993	A21_05_C3_P5_640238	A21_05_C3_P5_560171	A21_05_C3_P5_37977	A21_05_C3_P5_133498	A21_05_C3_P5_244273	A21_05_C3_P5_445179	A21_05_C3_P5_24360	A21_05_C3_P5_703710	A21_05_C3_P5_207384	A21_05_C3_P5_386145	A21_05_C3_P5_86538	A21_05_C3_P5_472060	A21_05_C3_P5_93498	A21_05_C3_P5_191838	A21_05_C3_P5_377349	A21_05_C3_P5_753539	A21_05_C3_P5_843002	A21_05_C3_P5_158991	A21_05_C3_P5_570941	A21_05_C3_P5_238160	A21_05_C3_P5_296727	A21_05_C3_P5_312382	A21_05_C3_P5_707030	A21_05_C3_P5_169070	A21_05_C3_P5_709456	A21_05_C3_P5_854843	A21_05_C3_P5_751717	A21_05_C3_P5_277264	A21_05_C3_P5_660606	A21_05_C3_P5_131155	A21_05_C3_P5_257483	A21_05_C3_P5_838518	A21_05_C3_P5_612739	A21_05_C3_P5_694894	A21_05_C3_P5_734349	A21_05_C3_P5_583408	A21_05_C3_P5_422936	A21_05_C3_P5_363620	A21_05_C3_P5_431292	A21_05_C3_P5_543877	A21_05_C3_P5_411884	A21_05_C3_P5_261464	A21_05_C3_P5_93643	A21_05_C3_P5_269933	A21_05_C3_P5_736975	A21_05_C3_P5_862851	A21_05_C3_P5_350862	A21_05_C3_P5_95740	A21_05_C3_P5_481069	A21_05_C3_P5_417826	A21_05_C3_P5_38038	A21_05_C3_P5_530264	A21_05_C3_P5_785863	A21_05_C3_P5_219225	A21_05_C3_P5_460537	A21_05_C3_P5_230547	A21_05_C3_P5_393721	A21_05_C3_P5_686573	A21_05_C3_P5_759037	A21_05_C3_P5_144471	A21_05_C3_P5_590025	A21_05_C3_P5_15041	A21_05_C3_P5_106303	A21_05_C3_P5_491295	A21_05_C3_P5_54991	A21_05_C3_P5_110220	A21_05_C3_P5_255874	A21_05_C3_P5_352643	A21_05_C3_P5_522106	A21_05_C3_P5_606516	A21_05_C3_P5_404182	A21_05_C3_P5_256329	A21_05_C3_P5_381490	A21_05_C3_P5_98918	A21_05_C3_P5_47901	A21_05_C3_P5_177457	A21_05_C3_P5_562682	A21_05_C3_P5_120023	A21_05_C3_P5_94062	A21_05_C3_P5_407431	A21_05_C3_P5_443710	A21_05_C3_P5_742617	A21_05_C3_P5_123213	A21_05_C3_P5_668548	A21_05_C3_P5_287479	A21_05_C3_P5_878834	A21_05_C3_P5_780339	A21_05_C3_P5_7754	A21_05_C3_P5_278466	A21_05_C3_P5_739379	A21_05_C3_P5_854714	A21_05_C3_P5_644287	A21_05_C3_P5_788486	A21_05_C3_P5_320558	A21_05_C3_P5_618150	A21_05_C3_P5_164454	A21_05_C3_P5_312531	A21_05_C3_P5_304743	A21_05_C3_P5_564946	A21_05_C3_P5_118576
CNTRL	0.000	0.000	0.000	0.000	0.000	0.810	0.000	0.000	0.000	0.000	0.000	0.000	0.393	0.000	0.000	0.413	0.000	0.000	0.000	0.000	0.456	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.061	0.000	0.000	0.500	0.000	0.000	0.000	0.505	0.831	0.000	0.000	0.000	0.000	0.518	0.000	0.000	0.517	0.518	0.000	0.000	0.000	0.000	0.524	0.537	0.000	0.000	0.000	0.000	0.536	0.000	0.000	0.000	0.895	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.560	0.000	0.000	0.000	0.000	0.000	0.570	0.000	0.000	0.000	0.000	0.000	0.000	0.959	0.000	0.599	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.975	0.611	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.034	0.000	0.000	0.000	0.000	0.000	0.000	0.725	0.000	0.000	0.000
COBLL1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.392	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.487	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.834	0.000	0.000	0.000	0.000	0.000	0.518	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.560	0.000	0.561	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.590	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.610	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
COL10A1	0.000	0.000	0.000	0.327	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.450	0.456	0.000	0.000	0.000	0.000	0.000	0.000	0.482	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.833	0.502	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.511	0.517	0.000	0.000	0.522	0.000	0.000	0.000	0.000	0.533	0.000	0.000	0.535	0.883	0.534	0.000	0.000	0.000	0.000	0.000	0.548	0.000	0.000	0.000	0.552	0.000	0.000	0.000	0.000	0.000	0.000	0.572	0.000	0.570	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.599	0.000	0.000	0.000	0.974	0.611	0.000	0.000	0.000	0.602	0.000	0.000	0.620	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.707	0.000	0.000	0.000	0.000	0.000
COL11A1	0.430	0.000	0.000	0.000	0.000	0.000	0.000	0.612	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.577	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.717	0.000	0.000	0.000	0.000
COL12A1	1.059	1.193	0.855	0.327	0.000	0.605	1.132	0.352	0.629	1.475	1.074	0.392	1.226	1.095	0.688	1.269	0.723	1.447	0.962	0.000	1.358	1.002	0.752	0.465	1.014	0.782	1.390	1.246	0.480	0.813	0.480	1.258	0.489	1.257	0.000	1.082	1.716	0.502	1.089	0.000	0.834	0.000	1.083	1.090	1.110	1.100	0.511	0.517	0.518	0.520	1.489	1.695	1.328	0.866	0.884	0.878	1.132	0.885	1.138	0.883	1.137	1.914	0.000	0.544	0.549	0.541	0.000	0.894	0.543	0.904	0.905	0.905	0.000	1.559	0.000	1.389	0.575	0.933	0.000	0.931	1.200	0.000	0.000	0.941	1.434	0.944	0.000	0.592	0.599	0.594	0.587	0.602	1.633	0.611	1.251	1.004	0.611	1.914	1.475	0.610	0.000	0.996	1.313	1.667	1.704	0.000	1.297	1.018	2.318	0.635	1.323	0.000	1.044	1.315	0.000	1.113	1.117	0.717	1.141	0.000	0.757	0.000
COL14A1	0.000	0.971	0.291	0.000	0.575	0.000	0.816	0.352	0.000	0.393	0.674	0.673	0.000	0.000	0.688	0.000	0.426	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.466	0.000	0.000	0.000	0.487	0.480	0.000	0.000	0.000	0.000	0.000	1.084	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.518	0.000	0.000	0.000	0.000	0.000	0.000	1.695	0.527	0.866	0.537	0.000	0.000	0.537	0.000	0.536	0.534	0.544	0.000	0.000	0.000	0.000	0.000	0.000	1.152	0.000	0.000	0.551	0.000	0.000	0.901	0.000	0.000	0.000	0.000	0.570	0.000	0.934	0.000	0.000	0.587	0.000	0.000	0.000	1.241	0.964	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.801	0.986	1.000	0.000	0.645	0.000	0.000	0.000	0.000	0.633	0.650	0.000	0.000	0.000	0.653	0.000	0.000	0.000	0.707	0.717	0.000	1.462	0.000	0.790
COL15A1	0.000	0.284	0.000	0.000	0.000	0.000	0.611	0.000	0.000	0.000	0.674	1.072	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.487	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.505	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.522	0.554	0.000	0.000	0.000	0.878	0.000	0.000	0.535	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.551	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.594	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.459	0.000	0.000	0.000	0.617	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.717	0.000	0.000	0.000	0.000
COL1A1	4.923	5.398	4.222	4.580	4.563	4.935	5.185	5.923	4.656	4.015	4.999	4.498	4.370	4.072	4.301	4.746	4.322	4.709	3.736	4.675	4.648	4.214	4.072	4.108	3.983	4.486	4.913	5.249	4.600	5.066	5.043	5.120	4.331	4.796	4.499	4.464	5.304	3.740	4.713	4.546	4.321	4.008	4.182	4.783	4.639	4.045	5.392	3.985	4.585	3.783	5.658	4.700	4.592	4.933	5.116	4.726	4.939	4.107	4.968	5.088	4.665	5.387	4.588	4.683	4.910	4.316	4.622	4.253	4.973	4.387	4.176	4.219	4.654	5.019	4.687	4.674	4.985	4.151	5.120	5.052	5.527	4.435	4.434	4.340	4.704	4.764	3.757	4.996	4.608	5.260	4.042	4.827	4.973	4.592	5.004	4.753	4.911	5.137	4.651	4.248	4.867	5.095	4.076	4.056	4.836	4.518	4.917	4.483	4.839	4.251	4.669	4.108	4.816	4.577	5.289	4.575	5.083	4.951	5.106	4.242	4.943	4.577
COL1A2	4.284	4.699	3.632	3.475	3.367	3.888	4.569	4.801	3.678	3.561	4.423	3.977	3.725	3.193	4.034	4.092	3.990	4.253	2.903	3.801	3.590	3.177	3.637	3.548	3.350	4.080	4.135	4.361	4.075	4.625	4.146	4.225	3.053	3.834	3.751	3.752	4.705	3.225	4.139	3.565	3.433	3.477	3.433	4.064	4.191	3.683	4.481	3.405	3.922	3.185	4.487	4.099	3.859	4.154	4.474	4.164	4.103	2.933	3.819	4.448	4.014	4.576	3.890	3.944	3.868	3.645	4.046	3.899	4.009	3.669	3.708	3.742	3.874	4.250	4.255	4.197	4.145	3.771	4.252	4.468	4.589	3.598	3.358	3.765	4.122	4.250	3.373	4.422	3.795	4.556	3.673	3.683	4.298	4.036	4.200	4.298	4.384	4.299	3.926	3.298	4.455	4.588	3.123	3.150	4.567	3.647	4.413	4.261	4.434	3.494	4.136	3.542	4.138	4.312	4.679	3.952	4.446	4.350	4.432	3.653	4.311	4.170
COL22A1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.612	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.531	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.704	0.000	0.000	0.000	0.000	0.000	0.000
