GeneSymbol	A21_05_C3_P5_493883	A21_05_C3_P5_345125	A21_05_C3_P5_850110	A21_05_C3_P5_816526	A21_05_C3_P5_92064	A21_05_C3_P5_558392	A21_05_C3_P5_868588	A21_05_C3_P5_4302	A21_05_C3_P5_599498	A21_05_C3_P5_803125	A21_05_C3_P5_391515	A21_05_C3_P5_780528	A21_05_C3_P5_227561	A21_05_C3_P5_555196	A21_05_C3_P5_317321	A21_05_C3_P5_590491	A21_05_C3_P5_248342	A21_05_C3_P5_254486	A21_05_C3_P5_618931	A21_05_C3_P5_868547	A21_05_C3_P5_52551	A21_05_C3_P5_239993	A21_05_C3_P5_640238	A21_05_C3_P5_560171	A21_05_C3_P5_37977	A21_05_C3_P5_133498	A21_05_C3_P5_244273	A21_05_C3_P5_445179	A21_05_C3_P5_24360	A21_05_C3_P5_703710	A21_05_C3_P5_207384	A21_05_C3_P5_386145	A21_05_C3_P5_86538	A21_05_C3_P5_472060	A21_05_C3_P5_93498	A21_05_C3_P5_191838	A21_05_C3_P5_377349	A21_05_C3_P5_753539	A21_05_C3_P5_843002	A21_05_C3_P5_158991	A21_05_C3_P5_570941	A21_05_C3_P5_238160	A21_05_C3_P5_296727	A21_05_C3_P5_312382	A21_05_C3_P5_707030	A21_05_C3_P5_169070	A21_05_C3_P5_709456	A21_05_C3_P5_854843	A21_05_C3_P5_751717	A21_05_C3_P5_277264	A21_05_C3_P5_660606	A21_05_C3_P5_131155	A21_05_C3_P5_257483	A21_05_C3_P5_838518	A21_05_C3_P5_612739	A21_05_C3_P5_694894	A21_05_C3_P5_734349	A21_05_C3_P5_583408	A21_05_C3_P5_422936	A21_05_C3_P5_363620	A21_05_C3_P5_431292	A21_05_C3_P5_543877	A21_05_C3_P5_411884	A21_05_C3_P5_261464	A21_05_C3_P5_93643	A21_05_C3_P5_269933	A21_05_C3_P5_736975	A21_05_C3_P5_862851	A21_05_C3_P5_350862	A21_05_C3_P5_95740	A21_05_C3_P5_481069	A21_05_C3_P5_417826	A21_05_C3_P5_38038	A21_05_C3_P5_530264	A21_05_C3_P5_785863	A21_05_C3_P5_219225	A21_05_C3_P5_460537	A21_05_C3_P5_230547	A21_05_C3_P5_393721	A21_05_C3_P5_686573	A21_05_C3_P5_759037	A21_05_C3_P5_144471	A21_05_C3_P5_590025	A21_05_C3_P5_15041	A21_05_C3_P5_106303	A21_05_C3_P5_491295	A21_05_C3_P5_54991	A21_05_C3_P5_110220	A21_05_C3_P5_255874	A21_05_C3_P5_352643	A21_05_C3_P5_522106	A21_05_C3_P5_606516	A21_05_C3_P5_404182	A21_05_C3_P5_256329	A21_05_C3_P5_381490	A21_05_C3_P5_98918	A21_05_C3_P5_47901	A21_05_C3_P5_177457	A21_05_C3_P5_562682	A21_05_C3_P5_120023	A21_05_C3_P5_94062	A21_05_C3_P5_407431	A21_05_C3_P5_443710	A21_05_C3_P5_742617	A21_05_C3_P5_123213	A21_05_C3_P5_668548	A21_05_C3_P5_287479	A21_05_C3_P5_878834	A21_05_C3_P5_780339	A21_05_C3_P5_7754	A21_05_C3_P5_278466	A21_05_C3_P5_739379	A21_05_C3_P5_854714	A21_05_C3_P5_644287	A21_05_C3_P5_788486	A21_05_C3_P5_320558	A21_05_C3_P5_618150	A21_05_C3_P5_164454	A21_05_C3_P5_312531	A21_05_C3_P5_304743	A21_05_C3_P5_564946	A21_05_C3_P5_118576
A2M	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AARD	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ABCA8	0.000	0.000	0.291	0.000	0.329	0.000	0.000	0.352	0.000	0.000	0.000	0.392	0.000	0.403	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.502	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.554	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.905	0.000	0.000	0.000	0.000	0.000	0.937	0.000	0.953	0.000	0.000	0.934	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.979	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.650	0.000	0.000	0.000	0.000	0.000	0.669	0.000	0.000	0.000	0.000	0.000	0.000	0.790
ABCC9	0.238	0.000	0.291	0.000	0.000	0.000	0.611	0.000	0.363	0.393	0.000	0.000	0.675	0.000	0.000	0.000	0.426	0.734	0.000	0.000	0.456	0.000	0.752	0.000	0.000	0.466	0.000	0.000	0.480	0.487	0.000	0.000	0.000	0.488	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.511	0.000	0.505	0.000	1.100	0.000	0.000	0.000	0.520	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.541	0.000	0.000	0.543	0.000	0.000	0.551	0.000	0.560	0.000	0.919	0.000	0.933	0.000	0.000	0.000	0.000	0.571	0.000	0.000	0.579	0.000	0.000	0.599	0.000	0.587	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.610	0.000	0.000	0.000	0.000	0.000	0.636	0.000	0.000	0.000	0.635	0.652	0.000	0.000	0.000	0.669	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ABCE1	0.852	1.374	1.745	0.770	1.080	1.556	0.816	0.612	1.505	0.674	1.074	1.224	1.358	1.499	1.379	0.413	1.658	1.310	1.306	1.346	1.005	1.819	1.887	1.638	1.507	1.216	0.791	1.246	0.802	1.059	0.480	1.688	1.799	1.060	1.588	0.833	0.000	0.835	1.597	1.711	1.083	1.300	1.715	0.000	0.518	1.100	1.299	1.747	1.312	0.860	1.758	0.909	0.527	1.492	1.142	0.533	1.132	1.901	1.512	0.883	0.880	1.153	0.000	1.359	1.368	2.101	0.900	0.894	0.543	1.165	0.552	1.372	0.000	1.180	1.161	0.000	1.586	1.581	0.953	0.931	0.000	1.199	0.571	2.176	0.587	0.944	2.109	1.230	1.454	1.621	1.434	0.602	1.245	0.611	1.251	1.004	1.261	1.459	0.611	1.259	1.000	0.617	1.033	1.490	0.641	1.517	0.000	1.295	0.000	1.298	1.323	0.000	0.653	1.315	0.000	1.113	1.407	0.000	0.000	0.744	0.000	1.760
ABHD2	0.430	0.685	0.291	0.572	0.575	0.810	0.351	0.818	0.363	0.393	0.393	0.392	0.393	0.000	1.092	0.413	0.953	1.152	0.731	1.186	0.456	0.000	0.445	1.376	1.206	0.782	0.000	1.246	1.242	0.813	0.802	0.488	1.062	0.488	0.832	0.000	1.084	0.000	0.505	0.499	0.834	0.511	0.834	0.505	0.518	1.301	0.000	0.000	1.480	0.520	0.864	0.909	0.000	0.866	1.346	0.000	1.132	1.142	0.881	0.883	0.534	0.000	0.000	0.544	0.000	0.890	0.900	0.543	0.543	0.904	0.905	0.000	0.559	0.917	0.901	0.561	0.575	0.933	0.586	0.570	0.935	0.572	0.000	0.941	0.587	0.579	0.000	0.961	0.599	1.234	1.223	0.975	1.633	0.611	0.000	1.494	1.261	0.602	0.000	0.610	1.000	1.485	0.645	0.620	0.000	1.022	0.635	1.018	0.000	0.635	0.652	1.034	0.653	1.533	0.000	0.704	1.117	0.000	0.000	1.166	0.757	1.225
ABI3BP	0.000	0.504	0.000	0.000	0.000	0.000	0.351	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.413	0.426	0.000	0.731	0.000	0.456	0.000	0.445	0.000	0.000	0.000	0.000	0.000	0.480	0.000	0.480	0.000	0.816	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.840	0.000	0.512	0.000	0.000	0.000	0.000	0.864	0.554	0.000	0.524	0.000	0.000	0.000	0.000	0.000	0.536	0.000	0.544	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.915	0.000	0.549	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.599	0.000	0.000	0.000	0.000	0.611	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.669	0.704	0.000	0.000	0.000	0.000	0.757	0.000
ABL2	0.430	0.000	0.516	0.770	0.000	0.000	0.351	0.612	0.000	0.674	0.393	0.000	0.393	0.690	0.402	0.705	0.000	0.000	0.000	0.759	0.000	0.000	0.986	0.000	0.775	0.782	0.472	0.805	0.480	1.059	0.480	0.488	0.000	0.000	0.500	0.000	0.502	0.000	0.839	0.000	0.502	0.511	1.083	0.000	0.857	0.000	0.000	0.517	0.000	0.000	0.864	0.554	0.000	0.524	0.537	0.000	0.000	0.000	0.535	0.000	0.534	0.894	0.000	0.895	0.000	0.541	0.000	0.543	0.000	0.551	0.000	0.551	0.559	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.577	0.000	0.000	0.590	0.000	0.000	0.964	0.000	0.000	0.000	0.611	0.000	0.000	0.988	0.000	0.000	0.000	0.620	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.704	0.707	0.717	0.725	0.000	0.000	0.000
AC002451.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC003101.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC003681.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC004000.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.587	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC004386.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.363	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.577	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.717	0.000	0.000	0.000	0.000
AC005291.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.488	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC005962.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC006141.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC006329.1	0.000	0.000	0.291	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.489	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.518	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.579	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.635	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC007066.2	0.000	0.000	0.000	0.000	0.000	0.000	0.351	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.488	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.511	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.546	0.000	0.000	0.000	0.548	0.000	0.000	0.000	0.000	0.000	0.000	0.917	0.000	0.000	0.575	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.635	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC008074.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.518	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC008105.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.426	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC008875.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.549	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC009318.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.505	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.541	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.602	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC009404.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.456	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.502	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.511	0.000	0.000	0.000	0.522	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.549	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC009549.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.543	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
