GeneSymbol	A21_05_C3_P5_249126	A21_05_C3_P5_533481	A21_05_C3_P5_577716	A21_05_C3_P5_86722	A21_05_C3_P5_251707	A21_05_C3_P5_755486	A21_05_C3_P5_637637	A21_05_C3_P5_572742
CEP135	0.000	0.000	0.000	0.000	0.000	0.000	0.568	0.000
CEP170	0.864	0.384	0.687	1.265	0.000	0.867	0.000	1.260
CEP290	0.377	0.384	0.687	0.000	0.498	0.000	0.000	0.000
CEP55	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CEP78	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CFH	0.000	0.877	0.908	0.492	0.498	1.324	0.568	0.987
CFHR1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CFI	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CH25H	1.321	0.000	0.908	1.265	1.708	2.150	1.401	0.987
CHAC1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CHAF1A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CHAF1B	0.000	0.000	0.401	0.000	0.000	0.000	0.000	0.000
CHGA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CHI3L1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CHL1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CHN1	0.650	0.660	0.908	1.696	0.829	0.524	1.401	0.611
CHRDL1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CHRNA1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CHRNA3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CHST1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CHST15	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CILP	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CILP2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CIP2A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CIT	0.000	0.000	0.401	0.000	0.000	0.000	0.000	0.000
CITED2	1.041	0.660	0.000	0.821	0.829	0.867	0.000	1.260
CITED4	0.000	0.000	0.401	0.000	0.000	0.000	0.568	0.000
CKAP2	0.650	0.384	0.000	0.000	0.000	0.000	0.568	0.000
CKAP2L	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CKAP4	1.540	2.799	2.186	2.293	2.168	1.324	2.157	2.242
CKAP5	0.650	0.660	0.000	0.492	0.829	0.000	0.568	0.000
CKB	0.000	0.000	0.000	0.000	0.000	0.524	0.000	0.000
CKS1B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CKS2	0.377	0.660	0.000	0.000	0.000	0.000	0.000	0.611
CLCA2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CLDN11	2.521	1.054	2.514	2.227	2.802	2.694	2.583	1.474
CLDN14	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CLEC2B	0.000	0.877	0.687	0.000	0.000	0.524	0.000	0.000
CLGN	0.000	0.000	0.687	0.000	0.498	0.000	0.000	0.000
CLIC2	0.000	0.000	0.401	0.000	0.498	0.000	0.568	0.000
CLOCK	0.650	0.000	0.000	0.492	0.000	0.524	0.000	0.611
CLSPN	0.000	0.000	0.000	0.000	0.000	0.524	0.000	0.000
CLSTN2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CLU	3.912	3.518	3.499	2.828	2.427	2.066	2.791	2.672
CMIP	1.321	0.660	0.908	0.000	0.498	0.000	0.928	0.000
CMPK2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CMSS1	0.000	0.000	0.000	0.492	0.000	0.000	0.568	0.000
CMYA5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CNIH3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CNN3	0.864	1.650	0.908	1.265	1.708	1.874	1.573	0.611
CNTN1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CNTN3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CNTNAP3B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CNTRL	0.000	0.000	0.000	0.000	0.000	0.000	0.568	0.000
COBLL1	0.000	0.000	0.401	0.000	0.000	0.000	0.000	0.000
COL10A1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
COL11A1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
COL12A1	0.377	1.337	0.687	0.492	1.818	0.867	1.192	1.260
COL14A1	0.377	1.054	0.000	0.492	0.000	1.492	1.401	0.987
COL15A1	0.000	0.000	0.000	0.000	0.498	0.000	0.928	0.000
COL1A1	5.608	5.872	4.835	5.369	5.435	4.731	5.805	5.354
COL1A2	4.872	5.199	4.406	4.792	4.962	4.040	5.006	4.904
COL22A1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
COL25A1	0.000	0.000	0.000	0.821	0.829	0.000	0.000	0.000
COL3A1	3.775	4.573	4.012	4.420	4.949	3.883	4.851	4.502
COL4A1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
COL4A2	0.000	0.000	0.401	0.000	0.000	0.000	0.000	0.000
COL4A4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
COL4A5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
COL5A1	2.887	2.741	1.376	2.469	2.306	1.121	2.692	2.149
COL5A3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
COL6A3	2.063	2.612	2.850	2.469	3.160	2.739	3.351	2.881
COL6A6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
COL8A1	1.041	1.452	1.090	1.265	1.441	0.524	1.401	0.611
COTL1	1.191	0.384	0.000	0.492	0.498	0.524	0.928	0.987
COX7A1	1.041	1.452	0.687	0.000	0.000	0.000	0.568	0.000
CPB1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CPE	0.377	0.000	0.000	0.000	0.498	0.000	0.000	0.000
CPED1	1.041	0.384	0.000	0.492	0.498	1.121	0.000	0.000
CPM	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CPXM1	0.377	0.384	0.908	0.492	0.000	1.636	0.568	0.000
CPXM2	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CR391992.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CRABP2	2.173	2.577	1.599	2.293	2.008	2.150	1.573	2.149
CREB5	0.000	0.000	0.000	0.000	0.498	0.000	0.000	0.000
CREBRF	0.650	0.660	0.000	0.000	0.000	0.524	0.000	0.611
CREG1	1.041	0.877	0.687	0.492	1.077	0.524	0.568	0.000
CRIM1	0.000	0.000	0.000	0.492	0.498	0.000	0.000	0.000
CRIP2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CRISPLD2	0.000	0.384	0.000	0.821	0.000	0.000	0.000	1.260
CRYBG1	0.377	0.000	0.000	0.000	0.000	0.524	0.000	0.000
CSE1L	0.650	0.000	0.000	0.000	0.000	0.867	0.568	0.000
CSGALNACT1	0.000	0.000	0.000	0.000	0.000	0.524	0.000	0.000
CSRNP3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CSRP1	0.377	0.000	0.000	0.821	0.829	0.524	0.000	0.000
CSRP2	0.000	0.000	0.000	0.492	0.000	0.000	0.000	0.000
CSTA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CT75	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CTHRC1	1.719	1.957	1.494	1.265	2.091	1.121	1.192	1.650
CTNNAL1	0.650	0.660	0.000	0.000	0.000	0.524	0.568	0.000
CTPS1	0.000	0.000	0.000	0.492	0.000	0.000	0.000	0.000
CTSC	1.041	0.877	1.243	0.000	1.077	1.636	0.928	0.611
CTSH	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CTSK	1.871	1.815	2.186	1.068	1.918	1.121	1.573	1.260
CTSL	1.191	2.337	2.386	1.265	0.829	1.636	1.573	1.800
CTSO	0.000	1.054	1.243	0.000	0.000	0.524	0.928	0.987
CXCL1	0.000	0.000	1.243	0.000	0.000	1.874	0.000	0.000
CXCL12	0.000	0.000	0.908	0.821	0.000	1.492	1.192	0.987
CXCL14	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CXCL2	0.000	0.000	0.000	0.000	0.000	0.524	0.000	0.000
CXCL3	0.000	0.000	0.000	0.492	0.000	0.000	0.000	0.611
CXCL5	0.000	0.000	0.401	0.000	0.000	0.000	0.000	0.611
CXCL6	0.000	0.000	1.090	0.000	0.498	0.000	0.000	0.000
CXCL8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CXXC5	0.377	0.000	0.000	0.492	0.000	0.524	0.000	0.000
CYB561	0.000	0.384	0.000	0.492	0.829	0.524	0.000	1.260
CYB561A3	0.000	0.000	0.687	0.821	0.498	0.000	0.568	0.000
CYCS	0.377	0.000	1.090	1.431	1.583	1.121	0.568	1.260
CYGB	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CYP1B1	1.719	0.877	1.376	2.355	1.918	1.324	1.849	0.987
CYP26B1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CYP2D7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CYP46A1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CYP7B1	0.000	0.000	0.000	0.000	0.000	0.000	0.568	0.000
CYTL1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DAAM2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DAB1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DAB2	1.871	1.650	1.935	2.664	1.818	1.636	1.401	1.260
DACT1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DAPK1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DBF4	0.000	0.000	0.000	0.000	0.498	0.000	0.000	0.000
DCBLD2	1.436	1.452	1.243	0.821	0.829	0.867	0.568	1.474
DCLK1	0.000	0.000	0.000	0.000	0.000	1.324	0.568	0.000
DCN	2.362	2.541	2.240	2.156	2.584	1.975	2.922	2.548
DDAH1	0.377	0.384	0.000	0.492	0.000	0.000	0.928	0.611
DDIAS	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DDIT3	0.000	0.000	0.401	0.000	0.000	0.524	0.000	0.000
DDIT4	0.377	0.384	0.687	0.492	0.000	0.524	0.000	0.000
DDIT4L	0.000	0.000	0.000	0.000	1.077	0.000	0.000	0.000
DDX10	0.000	0.000	0.000	0.000	0.000	0.000	0.928	0.000
DDX21	0.377	0.384	0.000	1.265	0.829	0.524	0.568	0.000
DDX58	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DEK	0.650	0.660	0.687	0.000	0.498	1.636	1.401	0.000
DEPDC1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DEPDC1B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DEPTOR	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DGKH	0.000	0.384	0.000	0.000	0.000	0.000	0.568	0.000
DHCR24	0.650	0.384	0.000	0.000	0.498	0.000	0.928	0.611
DHFR	0.650	0.000	0.908	0.492	0.000	0.000	0.000	0.000
DHX9	0.377	0.000	0.401	0.000	0.498	0.867	0.000	0.000
DIAPH3	0.000	0.000	0.000	0.000	0.000	0.524	0.000	0.000
DIO2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DIRAS3	0.000	0.000	0.000	0.000	0.000	1.324	0.000	0.000
DIRC1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DKC1	0.377	0.000	0.687	0.000	0.498	0.524	0.000	0.000
DKK1	0.864	0.384	0.000	0.492	0.000	0.000	0.000	0.000
DKK2	0.000	0.384	0.000	1.807	0.498	0.000	0.000	0.611
DLGAP5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DNAJB4	0.377	0.660	0.401	0.000	0.829	0.000	0.568	0.611
DNAJB9	0.000	0.384	0.000	0.492	0.498	0.000	0.000	0.611
DNAJC9	0.650	0.660	0.401	0.492	0.000	0.524	0.000	0.000
DNER	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DNM3OS	0.000	0.384	0.401	0.821	1.275	1.121	1.401	1.474
DNMT1	0.377	0.877	0.000	0.000	0.829	0.867	1.192	0.611
DPP4	1.540	0.877	1.599	1.068	0.829	1.121	0.928	0.000
DRAIC	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DRAXIN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DSEL	0.864	0.660	0.000	0.492	0.498	1.324	0.928	1.474
DSG2	0.000	1.205	0.687	0.000	1.077	0.000	0.000	0.000
DSN1	0.000	0.000	0.000	0.000	0.000	0.867	0.568	0.000
DSP	0.000	0.660	0.908	1.068	0.000	0.000	0.000	0.000
DTL	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DTYMK	0.000	0.000	0.401	0.000	0.000	0.000	0.000	0.000
DUOX2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DUSP1	0.377	0.000	0.000	0.000	0.000	1.324	0.000	0.000
DUSP14	0.864	0.660	0.687	0.492	0.000	0.000	0.000	0.000
DUSP4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DUSP6	0.377	0.000	0.401	0.000	0.498	0.000	0.000	1.474
DUT	0.000	0.660	1.376	0.492	0.498	1.492	1.192	0.611
DUXAP8	0.000	0.660	0.000	0.000	0.498	0.000	0.000	0.000
DYRK3	0.377	0.660	0.000	0.000	0.000	0.000	0.000	0.611
E2F1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
E2F7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
E2F8	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EBNA1BP2	0.377	0.384	0.000	0.492	0.000	0.000	0.000	0.611
ECM1	1.633	1.337	1.694	0.821	1.275	0.867	0.568	1.474
ECT2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EDIL3	0.000	0.384	0.000	0.000	0.000	0.000	0.000	0.000
EDNRA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EDNRB	0.000	0.000	0.401	0.000	0.000	0.867	0.000	0.000
EFEMP1	1.321	1.337	0.401	0.492	0.498	0.000	0.568	0.000
EFNB2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EGFLAM	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EGLN3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EGR1	0.377	0.000	0.000	0.000	0.829	0.000	0.568	0.987
EGR2	0.000	0.000	0.000	0.000	0.000	0.000	0.568	0.000
EGR3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EHD4	0.000	0.000	0.000	0.000	0.498	0.000	0.000	0.000
EIF1AX	0.650	1.452	0.000	1.068	1.077	0.524	1.573	0.611
EIF4E	0.000	0.660	0.401	0.492	0.000	0.000	0.000	0.611
EIF5	1.540	1.452	1.494	0.821	0.829	0.867	0.568	0.987
EIF5A	1.540	1.556	1.243	0.821	1.441	2.066	0.568	0.611
ELFN1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ELFN2	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.987
ELL2	0.377	0.000	0.401	0.492	0.498	0.000	0.000	0.000
ELN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ELOVL2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EMB	0.000	1.205	1.243	1.431	1.818	1.324	0.928	0.000
EMCN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EMP1	0.864	0.660	0.687	1.431	1.275	0.867	1.721	1.650
EMP2	0.000	0.000	0.000	0.821	0.000	0.867	0.928	0.987
EMX2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ENAH	0.000	1.205	0.687	0.000	0.498	0.867	0.568	0.611
ENC1	0.650	0.660	0.000	0.000	0.000	0.000	0.000	0.000
ENO1	1.436	1.337	1.090	2.079	1.583	2.487	1.192	2.328
ENPP1	0.377	0.384	0.401	0.492	0.829	0.867	0.568	0.000
ENPP2	0.864	0.384	0.908	0.821	2.091	1.492	1.401	1.930
EPAS1	0.000	0.660	0.401	0.492	0.498	0.867	0.000	0.000
EPDR1	0.864	0.000	0.000	0.000	0.498	0.524	0.000	0.000
EPHA1-AS1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EPHA3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EPHA4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EPHB1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EPHB2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EPS8L1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EPSTI1	0.377	0.384	0.908	0.821	1.077	0.867	0.568	0.000
ERCC6L	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EREG	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ERRFI1	0.000	0.000	0.401	0.492	0.000	0.867	0.568	0.000
ERVK9-11	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ESCO2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ESPL1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ETV1	0.000	0.000	0.000	0.492	0.498	0.000	0.000	0.000
EXO1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EXOSC8	0.000	0.000	0.401	0.000	0.000	0.000	0.000	0.000
EXOSC9	0.000	0.000	0.401	0.492	0.000	0.000	0.000	0.000
EYA1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EYA2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EYA4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EZH2	0.377	0.000	0.000	0.000	0.498	0.000	0.568	0.611
EZR	0.000	0.384	0.000	0.492	0.000	0.867	0.568	0.000
F11R	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
F13A1	0.000	0.000	0.000	0.000	0.000	0.524	0.000	0.000
F2R	0.000	0.660	0.000	0.000	0.000	0.000	0.928	0.000
F3	0.000	0.000	0.000	0.000	0.498	0.000	0.568	0.000
FABP3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.611
FABP4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FABP5	0.000	0.000	0.401	0.000	0.000	0.000	0.568	0.000
FADS1	0.000	0.877	0.000	0.000	0.829	0.524	0.568	0.611
FAIM2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FAM107B	0.000	0.384	0.000	0.000	0.000	0.000	0.000	0.000
FAM111A	0.377	0.000	0.000	0.000	0.000	0.000	0.568	0.000
FAM111B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FAM13C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FAM155A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FAM180A	0.650	0.000	0.687	0.000	0.498	0.000	0.000	0.000
FAM20A	1.191	0.384	0.908	1.265	0.000	0.524	1.192	0.000
FAM43A	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FAM72D	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FAM83D	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FAM83F	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FANCA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FANCD2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FANCI	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FANCM	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FAP	1.191	1.556	1.494	1.696	1.275	1.121	2.157	1.474
FAR2P2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FARSB	0.000	0.000	0.401	0.000	0.000	0.524	0.000	0.987
FBLN1	0.650	1.957	1.861	1.807	2.008	2.066	1.849	2.242
FBLN2	1.321	1.205	1.243	0.492	0.829	0.524	0.928	1.474
FBLN5	1.633	1.054	1.090	1.572	1.077	1.121	2.320	0.987
FBN1	1.939	1.650	2.186	1.807	2.008	1.975	2.157	2.480
FBN2	0.650	0.384	0.401	1.696	1.077	0.000	0.568	0.000
FBXO32	0.864	1.452	0.000	0.000	0.000	0.000	0.000	0.000
FBXO43	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FBXO5	0.377	0.000	0.000	0.000	0.000	0.524	0.568	0.000
FCMR	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FDXR	0.377	1.337	0.908	0.821	1.441	0.000	0.000	0.987
FEN1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FERMT1	0.000	0.000	0.401	0.000	1.077	0.000	0.000	0.000
FGD4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FGD6	0.864	0.384	0.000	0.000	0.000	0.867	0.568	0.000
FGF1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FGF18	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FGF2	0.000	0.000	0.908	1.572	0.498	0.000	1.192	0.000
FGF5	0.000	0.000	0.000	0.492	0.000	0.000	0.000	0.000
FGF7	0.650	0.384	0.000	1.068	0.000	0.867	0.000	0.000
FHAD1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FHL1	0.377	0.000	0.687	0.000	0.498	0.000	0.000	0.000
FHL2	1.321	0.000	0.687	1.068	0.000	1.121	0.568	0.611
FIBCD1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FIBIN	0.377	0.384	0.401	0.000	1.077	0.524	0.000	0.000
FILIP1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FILIP1L	1.191	0.000	0.000	0.821	0.829	1.121	0.568	0.987
FJX1	0.000	0.384	0.401	0.821	0.000	0.000	0.000	0.000
FKBP14	1.041	0.877	0.401	0.000	0.829	0.524	1.401	0.987
FKBP4	0.377	0.384	0.000	0.492	0.000	0.000	0.568	0.000
FMN2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.611
FMO1	0.000	0.384	0.000	0.000	0.000	0.000	0.568	0.000
FMO2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FMO3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FMOD	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FN1	3.982	4.341	4.577	4.097	4.162	3.746	3.630	4.199
FNDC1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FNDC5	0.377	0.000	0.000	0.000	0.000	0.524	0.000	0.000
FOS	1.041	0.000	0.000	0.000	0.000	0.524	1.721	0.000
FOSB	0.000	0.000	0.000	0.000	0.498	0.000	0.000	0.000
FOSL1	0.000	0.000	0.000	0.000	0.000	1.121	0.568	0.000
FOSL2	0.650	0.877	0.908	1.265	1.441	0.867	1.401	0.987
FOXC2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.611
FOXD1	0.000	0.000	0.000	0.821	1.275	0.000	0.000	0.000
FOXF1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FOXF2	0.000	0.000	0.000	0.000	0.000	0.524	0.000	0.000
FOXM1	0.000	0.000	0.000	0.000	0.000	0.524	0.000	0.000
FOXO1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FOXP1	0.377	0.660	0.687	0.492	0.829	1.121	0.000	0.987
FOXQ1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FOXS1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FRAS1	0.000	0.000	0.401	0.000	0.000	0.000	0.000	0.000
FREM1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FRMD6	1.939	0.877	1.494	0.821	0.829	1.324	1.401	0.987
FRMPD4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FRRS1L	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FSIP2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FST	0.000	0.000	0.000	0.000	0.000	0.524	0.568	0.611
FSTL1	1.719	2.192	2.291	2.355	2.168	1.975	2.065	2.612
FSTL5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FTH1	3.134	3.416	3.651	3.345	2.878	3.251	3.296	2.881
FTH1P10	1.321	0.660	1.090	1.431	0.000	1.762	0.568	0.611
FTL	3.484	3.684	3.771	3.200	3.214	2.739	2.963	2.480
FUBP1	0.000	0.384	0.687	1.068	0.498	0.524	0.000	0.000
FUS	0.377	0.384	1.090	1.431	1.077	0.867	1.401	1.260
FYB1	0.000	0.000	0.000	0.492	0.000	0.000	0.000	0.000
FZD1	0.377	1.205	1.090	1.265	1.275	1.324	1.192	1.260
FZD3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FZD7	0.000	0.660	0.000	0.000	0.000	0.000	0.000	0.611
FZD8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
G0S2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
G2E3	0.000	0.000	0.000	0.000	0.498	0.000	0.000	0.000
G3BP1	1.321	1.054	1.090	0.821	1.583	0.000	0.568	0.000
GABPB1-AS1	0.000	0.000	0.000	0.000	0.000	0.000	0.568	0.000
GABRB2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GABRB3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GADD45A	0.000	0.660	0.401	0.000	0.000	0.524	0.000	0.611
GADD45B	0.000	0.660	0.000	0.492	0.000	0.524	0.568	0.611
GAL	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GALNT1	1.041	1.337	0.401	1.431	1.077	1.121	0.568	0.611
GALNT15	1.321	0.000	0.000	0.000	0.829	0.000	0.000	0.000
GALNT5	1.191	0.877	1.243	0.821	1.275	0.000	1.721	0.611
GALNT6	0.000	0.660	0.401	0.000	0.000	0.000	0.000	0.000
GAP43	0.000	0.000	0.401	0.492	0.000	0.524	1.401	0.611
GAS1	0.650	0.000	0.000	0.000	0.829	0.867	0.568	0.611
GAS2L3	0.000	0.000	0.000	0.000	0.000	0.524	0.000	0.000
GAS6	2.003	1.205	0.908	1.431	1.441	0.867	1.192	0.987
GAS7	0.864	0.000	0.401	0.000	0.000	0.867	1.401	0.000
GATA6	0.000	0.000	0.000	0.821	0.000	0.524	0.568	0.611
GATM	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GBP1	0.377	0.660	0.401	0.821	0.829	0.867	0.000	0.000
GCLM	0.000	0.000	0.000	1.265	0.000	0.867	0.000	0.987
GDF15	0.000	0.000	0.000	0.000	0.498	0.000	0.000	0.000
GDF6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GDNF	0.000	0.877	0.000	0.000	0.498	0.000	0.000	0.000
GEN1	0.377	0.000	0.000	0.000	0.000	0.000	0.568	0.611
GFPT2	1.191	1.054	1.599	0.492	1.441	1.874	1.401	1.800
GFRA1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GGH	0.000	0.660	0.401	0.000	0.000	0.867	0.568	0.611
GINS1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GINS2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
