GeneSymbol	A21_05_C2_P5_547431	A21_05_C2_P5_337729	A21_05_C2_P5_498700	A21_05_C2_P5_155179	A21_05_C2_P5_253661	A21_05_C2_P5_272388	A21_05_C2_P5_720968	A21_05_C2_P5_704908	A21_05_C2_P5_848048	A21_05_C2_P5_90718	A21_05_C2_P5_348548	A21_05_C2_P5_327815	A21_05_C2_P5_424332	A21_05_C2_P5_791691	A21_05_C2_P5_145849	A21_05_C2_P5_225293	A21_05_C2_P5_406074	A21_05_C2_P5_207512	A21_05_C2_P5_687585	A21_05_C2_P5_242886	A21_05_C2_P5_709878	A21_05_C2_P5_649221	A21_05_C2_P5_135495	A21_05_C2_P5_59774	A21_05_C2_P5_84401	A21_05_C2_P5_380396	A21_05_C2_P5_133740	A21_05_C2_P5_641140	A21_05_C2_P5_692756	A21_05_C2_P5_607908	A21_05_C2_P5_60139	A21_05_C2_P5_481331	A21_05_C2_P5_119369	A21_05_C2_P5_326724	A21_05_C2_P5_715751	A21_05_C2_P5_407386	A21_05_C2_P5_158243	A21_05_C2_P5_528187	A21_05_C2_P5_177426	A21_05_C2_P5_356739	A21_05_C2_P5_227915	A21_05_C2_P5_670721	A21_05_C2_P5_336096	A21_05_C2_P5_198191	A21_05_C2_P5_380412	A21_05_C2_P5_554898	A21_05_C2_P5_398110	A21_05_C2_P5_168775	A21_05_C2_P5_873045	A21_05_C2_P5_228860	A21_05_C2_P5_695337	A21_05_C2_P5_454130	A21_05_C2_P5_699545	A21_05_C2_P5_278127	A21_05_C2_P5_94568	A21_05_C2_P5_589954	A21_05_C2_P5_88102	A21_05_C2_P5_105720	A21_05_C2_P5_305904	A21_05_C2_P5_716187	A21_05_C2_P5_411151	A21_05_C2_P5_241513	A21_05_C2_P5_146322	A21_05_C2_P5_76224	A21_05_C2_P5_425470	A21_05_C2_P5_629564	A21_05_C2_P5_96264	A21_05_C2_P5_451337	A21_05_C2_P5_706412	A21_05_C2_P5_278735	A21_05_C2_P5_264093	A21_05_C2_P5_676162	A21_05_C2_P5_626788	A21_05_C2_P5_796873	A21_05_C2_P5_747335	A21_05_C2_P5_318512	A21_05_C2_P5_507421	A21_05_C2_P5_164980	A21_05_C2_P5_535888	A21_05_C2_P5_642834	A21_05_C2_P5_868352	A21_05_C2_P5_111697	A21_05_C2_P5_377677	A21_05_C2_P5_167734	A21_05_C2_P5_416816	A21_05_C2_P5_762794	A21_05_C2_P5_642404	A21_05_C2_P5_470132	A21_05_C2_P5_117531	A21_05_C2_P5_118735	A21_05_C2_P5_787868	A21_05_C2_P5_410651	A21_05_C2_P5_420608	A21_05_C2_P5_789103	A21_05_C2_P5_29457	A21_05_C2_P5_522007	A21_05_C2_P5_640301
CDK1	1.257	1.477	1.563	1.556	0.751	0.000	1.500	1.001	0.988	0.992	1.212	0.453	1.023	1.657	1.250	1.802	0.000	1.445	1.274	0.831	1.450	0.515	1.463	1.947	1.482	1.964	1.304	1.742	1.129	1.334	0.000	1.503	1.329	0.878	1.669	0.558	1.525	1.811	0.000	1.542	1.544	0.917	0.558	1.392	1.398	1.402	1.184	0.583	0.000	2.001	0.956	2.290	1.443	0.594	0.000	0.000	1.765	2.128	0.000	0.000	0.621	1.947	1.284	1.667	0.000	2.081	1.015	1.299	1.011	1.533	1.703	0.000	1.075	0.665	1.754	1.365	0.696	1.617	1.797	1.414	0.000	1.397	1.125	1.978	0.000	0.000	0.000	1.532	2.153	0.784	1.222	2.039	0.885	1.348	0.906	0.922	0.000
CDK2	0.000	1.361	0.731	0.428	0.444	0.970	0.458	1.192	0.446	0.992	0.779	0.763	0.783	0.474	0.000	0.818	1.431	1.445	0.000	1.586	0.835	0.515	0.845	1.610	1.482	1.315	1.304	0.515	0.529	0.530	1.507	0.875	0.871	0.878	0.890	0.000	1.354	0.548	0.900	0.904	0.552	1.180	1.384	1.711	0.567	0.929	1.184	0.950	1.238	0.000	1.435	0.592	0.962	0.594	1.448	0.000	1.230	0.972	1.239	1.661	1.276	0.000	0.000	0.620	1.283	1.013	0.000	1.299	0.628	1.035	0.000	1.325	0.676	1.745	0.671	0.679	1.102	0.698	0.696	0.000	0.701	1.108	0.713	1.823	1.145	1.180	1.170	0.000	0.819	1.218	0.000	0.000	1.661	0.000	0.000	0.922	0.000
CDK5RAP2	0.609	0.000	0.731	0.000	0.000	0.435	0.000	0.000	0.753	0.992	0.000	0.453	0.466	0.794	1.414	0.000	0.000	0.500	0.000	0.831	0.502	0.000	0.845	0.848	0.000	0.000	0.000	0.000	0.529	0.000	0.532	0.000	1.126	0.878	1.148	0.000	0.000	0.000	0.000	0.000	0.552	0.000	1.384	0.563	0.567	0.000	0.000	0.583	0.000	0.955	0.000	0.000	0.000	0.000	0.595	0.000	0.961	0.000	0.597	0.000	0.000	0.000	0.000	0.620	0.626	0.629	0.000	0.000	0.628	1.035	0.641	0.000	0.000	1.564	0.000	0.679	1.390	1.105	0.000	0.711	0.000	1.108	0.000	0.000	0.000	0.000	0.747	1.229	0.000	0.000	0.000	0.000	1.346	0.000	0.000	0.000	0.000
CDK6	0.000	0.394	0.000	1.556	0.000	1.158	1.008	0.000	0.446	0.756	1.212	0.453	0.466	1.036	0.809	0.818	0.493	1.445	1.274	1.278	0.000	0.515	0.000	0.000	1.314	1.113	0.851	0.000	0.000	0.530	0.878	0.875	0.527	0.878	0.000	0.558	0.000	0.000	0.548	0.551	0.000	0.917	0.558	0.000	0.000	0.929	0.000	1.217	0.968	0.955	0.956	0.592	0.962	0.964	1.235	0.973	0.000	0.972	1.776	0.995	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.022	0.628	0.000	0.641	1.325	1.360	0.000	1.068	0.000	0.696	0.000	0.696	1.123	0.000	0.000	0.000	0.712	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.849	0.000	0.000	0.000	0.000	0.000
CDKN1A	0.814	2.221	1.307	0.957	0.444	0.738	1.999	1.192	1.890	2.555	1.842	0.453	1.217	0.474	1.250	1.262	0.000	0.831	0.497	1.278	2.102	0.515	0.509	1.610	0.000	0.519	0.513	0.853	0.529	1.334	0.878	2.162	2.157	3.064	1.148	0.558	0.891	1.161	0.548	1.165	1.373	2.444	1.176	1.711	1.571	0.000	1.711	0.000	1.451	0.587	2.735	1.230	1.443	0.594	0.000	0.000	0.961	0.972	1.451	2.419	1.949	0.620	0.626	1.275	1.283	0.000	1.015	0.636	0.000	0.646	1.028	1.876	1.762	0.665	2.262	1.080	1.390	1.105	2.403	1.123	0.000	1.108	1.416	1.124	0.728	2.185	1.466	0.792	1.569	1.218	0.787	0.849	2.093	1.663	1.931	1.954	0.000
CDKN1C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.515	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.594	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.671	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDKN2A	0.000	0.676	0.000	0.000	0.000	0.000	0.000	0.000	0.446	0.000	0.000	0.000	0.000	0.474	0.484	0.000	0.000	0.831	0.000	0.499	0.000	0.000	0.509	0.511	0.859	0.000	0.851	0.853	0.000	0.000	0.000	0.000	0.527	0.000	0.541	0.000	0.000	1.161	0.000	0.000	0.552	0.000	0.558	0.000	0.000	0.568	0.921	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.626	0.000	0.000	0.000	0.000	1.022	0.000	0.000	0.000	0.000	1.075	0.665	0.000	0.000	0.696	0.000	0.696	0.000	0.000	0.000	0.000	0.712	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.885	0.000	0.906	0.000	0.000
CDKN2B	0.984	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.466	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.851	0.000	0.000	0.000	0.000	0.000	0.000	0.533	0.000	0.000	0.000	0.000	0.000	0.000	0.552	0.000	0.558	0.000	0.000	0.000	0.000	0.000	0.597	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDKN2C	0.609	0.394	0.731	0.727	0.444	0.000	0.770	0.453	0.000	0.756	0.779	0.763	0.000	0.474	0.484	1.262	0.493	0.500	0.827	0.000	1.085	0.515	0.845	0.848	0.859	1.315	0.000	1.105	1.645	0.530	0.532	1.131	0.527	0.533	0.541	0.558	0.542	0.000	0.000	0.000	0.000	0.560	1.384	0.921	0.000	1.193	0.000	0.583	0.000	1.223	0.000	1.230	0.962	0.594	0.000	0.601	1.617	0.600	1.239	1.269	0.621	0.999	0.000	1.490	0.000	0.629	1.508	1.022	0.628	0.000	0.000	0.653	0.676	1.344	0.000	0.679	0.696	1.105	0.000	0.000	0.000	0.000	0.000	1.124	0.000	0.000	0.000	0.000	0.819	0.000	0.000	0.849	0.000	0.886	0.906	0.000	0.933
CDKN3	0.984	1.076	0.962	0.428	0.000	0.000	1.200	0.000	0.000	0.448	0.000	0.000	0.000	0.474	1.054	1.064	0.000	0.000	0.827	0.000	0.502	0.000	0.509	0.848	0.859	0.000	0.000	0.000	1.129	0.000	0.532	0.530	0.871	0.533	0.890	0.558	0.891	0.000	0.000	0.000	0.552	0.560	0.558	0.000	0.567	0.568	0.000	0.000	0.000	0.955	0.956	0.961	0.000	0.594	0.000	0.973	0.961	0.972	0.000	0.617	0.000	0.999	0.000	1.000	0.000	1.289	0.000	1.022	0.000	0.646	0.641	0.000	0.000	0.665	0.000	0.000	0.000	0.000	1.391	0.711	1.109	0.700	0.000	1.415	0.000	0.755	0.000	0.792	1.263	0.784	0.000	0.000	0.000	0.000	0.906	0.000	0.933
CDT1	0.350	0.394	0.000	0.000	0.000	0.000	0.770	0.000	0.000	0.000	0.779	0.453	0.000	0.000	0.000	0.000	0.000	0.000	0.497	0.499	0.835	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.532	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.551	0.000	0.560	0.000	0.000	0.000	0.000	0.000	0.950	0.000	0.955	0.000	0.000	0.000	0.594	0.000	0.973	0.000	0.972	0.597	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.022	0.000	0.000	0.000	0.653	0.000	0.000	0.671	0.679	0.000	0.000	0.000	0.000	0.701	0.000	0.000	0.000	0.728	0.000	0.000	0.000	0.000	0.000	0.000	0.849	0.000	0.000	1.373	0.000	0.000
CEBPB	0.814	0.676	0.731	0.957	0.444	0.738	0.770	0.764	0.000	1.342	1.019	0.000	0.466	0.000	0.000	0.490	0.493	1.080	0.000	0.000	0.502	0.854	0.845	0.511	1.314	0.000	0.000	0.515	0.529	0.000	0.532	0.530	1.126	0.533	1.148	0.000	0.542	0.901	0.548	0.000	0.552	0.917	0.000	1.564	0.000	0.000	1.392	0.583	0.968	0.000	0.588	1.765	0.592	0.594	0.000	0.973	0.000	0.000	0.597	0.000	0.621	0.620	0.626	1.490	1.008	0.629	1.015	0.636	1.011	0.646	1.307	1.325	0.676	0.665	0.000	0.679	1.390	0.000	0.000	0.000	0.000	0.700	0.000	0.712	0.000	1.477	0.000	1.229	1.569	1.520	0.000	0.000	0.000	0.886	0.000	0.922	0.000
CEBPD	0.350	0.000	0.431	0.428	1.174	0.000	0.000	1.491	0.753	0.000	0.464	0.000	0.466	0.794	1.054	0.490	0.821	0.500	0.000	0.831	0.000	0.000	0.000	0.000	0.000	0.519	0.000	1.617	0.000	0.875	0.532	0.530	0.527	0.000	0.000	1.177	0.542	0.548	0.000	0.551	0.000	0.560	0.558	0.921	0.000	0.000	0.000	0.000	0.968	1.223	0.956	0.592	0.000	0.594	0.595	0.000	0.000	0.600	0.597	0.617	0.000	0.000	0.626	0.000	0.000	1.013	1.015	0.636	1.011	0.000	0.000	1.044	0.000	0.000	0.000	0.679	0.696	1.105	0.696	0.000	0.701	0.700	0.000	1.124	0.728	0.000	0.747	1.229	0.000	0.784	0.000	1.301	0.000	0.886	0.000	0.000	0.000
CELF2	0.350	0.394	0.731	0.428	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.484	0.000	0.000	0.500	0.000	0.000	0.000	0.515	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.532	0.530	0.000	0.533	0.000	0.000	0.000	0.548	0.000	0.904	0.000	0.560	0.000	0.000	0.000	0.000	0.000	0.583	0.000	0.000	0.000	0.592	0.000	0.000	0.000	0.000	0.000	0.000	0.597	0.000	0.000	0.000	0.000	0.000	0.626	0.000	0.000	0.000	0.000	0.000	0.000	0.653	0.000	0.665	0.000	0.000	1.390	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.145	0.000	0.000	0.792	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CEMIP	0.000	0.896	1.149	0.957	0.000	0.000	1.008	1.001	0.000	0.448	0.000	1.000	1.848	0.794	0.000	0.490	1.431	1.922	0.000	1.278	1.450	0.515	0.000	0.000	1.113	0.000	0.000	0.515	0.000	0.530	0.000	1.131	0.871	1.653	0.541	0.558	0.542	0.000	0.900	0.904	0.552	0.000	0.914	0.000	1.190	0.000	0.563	0.950	1.451	0.000	2.104	0.592	0.000	1.446	0.000	1.457	2.205	0.000	0.969	0.617	1.001	0.620	0.626	0.000	0.000	1.683	1.968	1.299	0.000	0.646	0.641	0.000	1.916	0.665	0.671	0.000	0.000	1.105	1.103	0.000	1.109	0.700	0.000	0.000	0.000	0.755	0.000	0.000	0.819	1.751	1.756	0.849	0.885	0.000	0.000	0.922	1.407
CEMIP2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.453	0.446	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.821	0.500	0.000	0.499	0.000	0.000	0.000	0.000	0.519	0.000	0.513	0.515	0.000	0.000	0.000	0.875	0.000	0.000	0.541	0.000	0.000	0.901	0.000	0.000	0.552	0.917	0.914	0.000	0.000	0.000	0.000	0.000	0.000	0.587	0.588	0.000	0.592	0.000	0.595	0.601	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.696	0.000	0.000	0.000	0.000	0.000	0.713	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CENPA	1.369	1.677	0.000	0.428	0.000	0.000	1.361	0.000	0.753	0.000	0.000	0.453	0.000	0.794	1.555	1.568	0.000	0.000	0.497	0.831	0.000	0.854	1.296	0.511	1.113	1.113	0.000	0.515	0.529	0.530	0.000	1.334	0.871	0.533	0.541	0.000	1.149	0.000	0.900	0.000	0.552	1.180	0.914	0.000	0.926	0.568	0.563	0.000	0.000	0.587	0.588	1.230	1.443	0.000	0.000	0.000	0.592	0.600	0.000	0.000	0.000	1.274	1.678	1.490	0.000	1.289	1.292	0.000	1.011	0.646	1.986	0.000	0.676	1.061	0.671	0.000	0.000	0.000	1.103	0.000	0.000	1.108	0.000	1.978	0.000	0.000	0.000	1.229	0.000	0.000	1.756	1.301	0.885	0.886	0.000	1.394	0.933
CENPE	1.471	1.228	1.149	2.311	0.000	0.000	2.145	0.453	1.596	1.342	1.019	0.000	0.466	1.657	1.555	1.568	0.493	0.000	0.497	1.079	0.835	0.000	1.606	1.467	1.626	1.315	0.513	1.617	1.129	1.131	0.532	1.886	1.881	1.508	2.263	0.915	1.149	0.548	0.000	0.551	0.905	1.388	1.176	0.000	1.571	1.574	1.392	0.583	0.000	0.587	0.588	2.205	1.766	0.594	0.595	0.000	1.617	1.456	0.597	0.000	1.818	0.999	1.008	2.347	0.000	1.683	0.631	1.022	0.628	1.533	1.855	0.000	1.581	1.344	1.068	0.679	0.000	0.698	0.696	1.414	0.000	1.621	1.125	1.124	0.000	0.755	0.000	0.792	2.411	0.000	1.524	1.848	0.000	1.348	0.000	0.000	0.933
CENPF	1.563	1.228	2.511	1.928	0.751	0.000	1.730	1.001	2.047	0.756	1.513	0.453	0.783	2.425	2.060	2.351	0.493	0.500	0.497	0.000	1.284	0.515	2.331	0.511	1.964	2.585	1.102	2.407	1.984	1.334	0.000	1.334	0.527	1.891	1.908	1.556	1.354	0.901	0.000	1.165	1.373	1.706	1.830	0.563	1.718	1.963	0.563	0.950	0.597	0.587	1.610	1.230	1.896	0.000	0.595	1.244	0.961	2.025	1.239	0.617	1.949	1.947	1.678	1.275	0.626	2.279	2.282	0.636	0.000	2.216	2.672	0.000	0.000	2.251	1.068	1.080	1.102	1.394	1.103	1.123	1.109	1.397	0.000	1.640	0.000	0.755	0.000	2.367	1.804	0.000	1.524	0.849	1.900	1.348	0.906	2.149	1.970
CENPH	0.000	0.394	0.000	0.428	0.000	0.000	0.000	0.764	0.000	0.000	0.000	0.453	0.000	0.794	0.000	0.000	0.000	0.000	0.497	0.000	0.000	0.000	0.845	0.511	0.859	0.860	0.000	0.000	0.529	0.530	0.532	0.000	0.000	0.533	0.541	0.000	0.000	0.000	0.548	0.000	0.552	0.000	0.000	0.000	0.000	0.000	0.563	0.000	0.597	0.587	0.000	0.961	0.000	0.594	0.595	0.601	0.000	0.600	0.000	0.000	0.000	0.999	0.626	0.000	0.000	0.000	0.631	0.000	0.000	0.000	0.641	0.653	0.000	0.665	1.352	0.000	1.102	0.698	0.000	0.000	0.000	0.000	1.125	0.000	0.000	0.000	0.000	0.792	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.922	0.000
CENPI	0.000	0.394	0.000	0.428	0.000	0.000	0.458	0.453	0.000	0.000	0.000	0.000	0.466	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.509	0.000	0.000	0.519	0.513	0.000	0.529	0.000	0.000	0.000	0.000	0.000	0.541	0.000	0.000	1.161	0.000	0.000	0.000	0.560	0.558	0.563	0.000	0.000	0.563	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.600	0.969	0.617	0.000	0.620	0.000	0.000	0.000	0.629	0.000	0.636	0.628	0.646	0.000	0.653	0.000	0.665	0.671	0.000	0.000	0.000	0.000	0.000	0.701	0.000	0.000	0.712	0.000	0.000	0.000	0.792	0.000	0.000	0.000	0.000	0.000	0.886	0.000	0.000	0.000
CENPJ	0.000	0.394	0.431	0.000	0.000	0.000	0.000	0.000	0.446	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.493	0.000	0.497	0.000	0.502	0.000	0.509	0.000	0.000	0.519	0.513	0.515	0.529	0.530	0.000	0.000	0.000	0.878	0.000	0.000	0.000	0.548	0.900	0.000	0.000	0.000	0.000	0.563	0.567	0.568	0.563	0.000	0.000	0.000	0.000	0.000	0.000	0.594	0.000	0.601	0.592	0.000	0.000	0.000	0.621	0.000	0.626	0.620	0.626	0.629	1.015	1.022	0.000	0.000	0.641	0.653	0.000	0.665	0.000	0.000	0.000	1.105	0.000	0.000	0.701	1.108	0.000	1.415	0.000	0.000	0.000	0.792	0.819	0.000	0.787	0.000	0.000	0.000	1.373	0.000	0.933
CENPK	0.609	0.676	0.731	0.000	0.751	0.738	0.458	0.453	0.446	0.756	0.000	0.000	1.379	0.000	0.484	1.262	0.493	0.000	1.274	0.499	1.085	0.000	1.463	1.099	0.519	1.113	0.513	1.306	0.873	1.131	0.878	0.530	0.527	1.135	0.541	1.384	1.354	0.548	0.000	1.165	0.552	1.180	0.558	0.921	0.000	0.000	1.952	0.000	0.597	0.000	1.224	1.230	0.962	0.594	0.000	0.601	0.592	0.600	0.597	0.995	0.000	0.620	0.626	1.275	0.000	1.013	1.292	1.022	0.628	1.035	0.000	0.000	0.000	1.061	1.352	1.365	1.614	0.000	0.696	0.000	0.000	1.108	1.125	1.124	0.728	0.755	1.170	0.792	0.000	0.000	1.524	0.000	0.885	0.886	0.000	0.000	0.933
CENPM	0.350	0.000	0.000	0.428	0.000	0.000	0.770	0.453	0.000	0.448	0.000	0.453	0.000	0.000	0.484	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.509	1.099	0.000	0.000	0.000	0.515	0.000	0.530	0.000	0.000	0.527	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.914	0.563	0.000	0.568	0.000	0.000	0.000	0.587	0.000	0.000	0.592	0.000	0.595	0.000	0.000	0.600	0.597	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.676	0.000	0.000	1.080	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.885	0.000	0.000	0.000	0.000
CENPO	0.000	0.000	0.000	0.428	0.000	0.000	0.000	0.453	0.000	0.448	0.000	0.763	0.000	0.794	0.484	0.000	0.493	0.000	0.497	0.000	0.502	0.515	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.532	0.000	0.000	0.000	0.541	0.558	0.000	0.000	0.000	0.000	0.000	0.000	0.558	0.000	0.000	0.000	0.000	0.000	0.000	0.587	0.000	0.592	0.000	0.000	0.595	0.000	0.000	0.000	0.597	0.000	1.001	0.000	0.626	0.000	0.000	1.013	0.000	0.636	0.000	0.000	0.000	0.000	0.676	0.665	0.000	0.000	0.696	0.000	0.000	0.000	0.000	0.000	0.713	0.000	0.000	0.000	0.747	0.000	0.819	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CENPQ	0.350	0.676	0.431	0.000	1.471	0.738	1.200	0.764	0.753	0.756	1.019	0.763	0.466	0.474	0.000	0.490	0.493	1.080	0.497	0.831	0.835	0.515	0.000	1.099	0.000	0.519	0.851	0.853	0.873	0.875	0.878	0.530	0.000	0.000	0.000	0.558	0.000	0.548	1.160	0.551	0.552	0.560	0.000	0.000	0.926	0.568	1.184	0.950	0.000	1.434	0.000	0.000	0.592	1.234	0.966	0.973	0.000	0.600	0.969	0.617	0.000	0.999	0.000	0.000	0.626	1.834	0.000	0.636	1.011	1.035	0.641	1.325	0.000	0.000	0.000	0.000	1.390	1.394	1.103	0.000	0.000	0.000	0.000	0.000	0.728	1.180	0.000	0.000	0.000	0.784	0.787	0.849	1.346	0.886	0.000	0.922	0.933
CENPU	0.609	0.394	0.731	0.957	0.444	1.158	0.770	0.000	0.446	0.756	1.019	1.191	0.783	0.794	1.054	1.064	1.431	0.500	0.827	1.079	0.000	0.515	0.000	1.099	0.519	1.113	1.304	0.515	0.529	1.131	1.652	0.875	0.000	0.533	1.148	1.384	0.542	0.000	0.900	0.000	0.000	0.560	0.914	0.921	0.926	0.000	0.921	1.879	0.597	0.955	0.000	0.592	0.592	0.594	0.966	0.601	0.961	0.000	1.239	0.995	1.001	0.620	0.000	0.620	0.626	0.000	0.000	1.022	0.628	1.533	0.000	1.044	0.676	1.061	1.068	0.000	1.796	0.000	0.696	0.711	1.109	1.397	0.000	0.712	1.145	1.180	1.170	0.000	1.263	0.000	0.000	0.849	0.000	1.348	1.373	1.394	0.000
CENPV	0.609	0.000	0.000	0.000	0.000	0.738	0.000	0.000	0.753	0.000	0.000	0.000	0.466	0.474	0.000	0.490	0.000	0.500	0.827	0.831	0.000	0.515	0.000	0.000	0.519	0.000	0.000	0.853	0.000	0.000	0.000	0.875	0.527	0.000	0.890	0.000	0.000	0.000	0.000	0.000	0.000	0.560	0.000	0.563	0.000	0.568	0.000	0.000	0.597	0.000	0.000	0.000	0.000	1.234	0.595	0.000	0.000	0.600	0.000	0.000	0.621	0.000	0.000	0.000	0.000	0.629	0.000	0.636	0.628	0.000	0.000	1.044	0.676	0.000	0.000	0.000	0.696	1.105	0.000	0.711	1.109	0.000	0.000	0.000	0.000	0.000	0.000	1.532	0.000	0.000	0.787	0.849	0.885	0.886	0.906	0.000	0.000
CENPW	0.000	0.676	0.431	0.000	0.000	0.435	0.770	0.453	0.446	0.448	0.000	0.763	0.000	0.000	0.484	0.490	0.493	0.500	0.000	0.000	0.000	0.854	0.845	0.000	0.519	1.113	0.000	0.853	0.873	0.530	0.000	0.875	0.000	0.533	0.000	0.000	0.000	0.548	0.000	0.000	0.905	0.560	0.914	0.563	0.000	0.929	0.000	0.000	0.000	0.587	0.000	0.592	0.592	0.594	0.000	0.000	0.592	0.972	0.000	0.617	0.621	0.620	1.284	1.000	0.626	1.013	0.000	0.000	0.000	0.000	1.028	0.000	0.000	0.665	0.000	0.679	0.696	1.394	0.696	0.000	0.000	0.700	0.713	0.712	0.000	0.000	0.000	0.000	0.000	0.000	1.222	0.000	0.000	0.886	1.373	0.000	0.000
CEP128	0.350	0.000	0.000	0.000	0.444	0.000	0.000	0.453	0.753	0.448	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.000	0.499	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.532	0.000	0.871	0.000	0.000	0.558	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.568	0.000	0.583	0.597	0.000	0.588	0.000	0.000	0.000	0.000	0.000	0.592	0.000	0.000	0.000	0.621	0.000	0.000	0.000	0.626	0.000	0.631	0.000	0.000	0.646	0.641	0.000	0.000	0.000	0.671	0.000	0.696	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.933
CEP135	0.000	0.394	0.000	0.727	0.444	0.000	0.458	0.000	0.753	0.992	0.000	0.000	0.000	0.000	0.484	0.490	0.000	0.500	0.497	0.499	0.000	0.000	0.509	0.000	0.000	0.000	0.513	0.000	0.000	0.530	0.000	0.530	0.527	0.000	0.000	0.000	0.542	0.000	0.548	0.000	0.000	0.000	0.558	0.000	0.000	0.000	0.563	0.000	0.000	0.000	0.000	0.000	0.000	0.594	0.595	0.000	0.592	0.000	0.597	0.000	1.001	0.000	0.000	0.620	0.626	0.000	0.000	0.000	0.628	1.314	1.028	0.000	0.000	0.000	0.000	0.000	0.696	0.698	0.696	0.000	1.109	0.700	0.713	0.712	0.000	0.000	0.747	0.000	0.000	0.000	0.000	0.849	0.000	0.000	0.000	0.922	0.000
CEP170	0.350	0.676	1.149	0.727	1.886	0.738	0.458	1.001	0.000	0.000	1.212	1.351	1.023	1.231	0.484	1.064	1.068	0.000	0.000	0.499	0.835	0.515	0.845	0.000	0.519	0.000	1.614	0.515	0.529	0.530	0.532	0.530	0.000	0.878	0.541	0.915	0.542	1.161	1.537	0.000	1.373	0.000	0.558	0.000	0.926	1.193	1.184	1.217	0.597	0.587	0.000	0.000	0.000	0.594	0.595	1.457	0.000	0.600	1.451	0.617	0.000	0.620	0.626	1.000	0.000	0.000	0.631	0.000	0.628	0.646	1.703	0.000	0.000	1.061	1.068	0.000	1.102	0.000	0.696	0.000	1.109	0.000	0.000	0.000	1.145	0.755	1.694	1.229	0.000	0.784	0.787	0.000	0.000	0.000	0.000	0.922	0.933
