GeneSymbol	A21_05_C2_P5_627989	A21_05_C2_P5_128351	A21_05_C2_P5_307432	A21_05_C2_P5_162218	A21_05_C2_P5_755916	A21_05_C2_P5_787444	A21_05_C2_P5_352352	A21_05_C2_P5_438815	A21_05_C2_P5_70683	A21_05_C2_P5_232986	A21_05_C2_P5_871915	A21_05_C2_P5_142405	A21_05_C2_P5_383696	A21_05_C2_P5_190510	A21_05_C2_P5_859759	A21_05_C2_P5_617183	A21_05_C2_P5_576934	A21_05_C2_P5_283019	A21_05_C2_P5_596460	A21_05_C2_P5_654803	A21_05_C2_P5_253471	A21_05_C2_P5_506975	A21_05_C2_P5_239328	A21_05_C2_P5_317515	A21_05_C2_P5_195085	A21_05_C2_P5_683878	A21_05_C2_P5_414797	A21_05_C2_P5_170324	A21_05_C2_P5_51980	A21_05_C2_P5_504840	A21_05_C2_P5_200807	A21_05_C2_P5_300103	A21_05_C2_P5_845053	A21_05_C2_P5_123870	A21_05_C2_P5_484043	A21_05_C2_P5_417735	A21_05_C2_P5_768487	A21_05_C2_P5_657834	A21_05_C2_P5_296097	A21_05_C2_P5_117136	A21_05_C2_P5_80111	A21_05_C2_P5_703673	A21_05_C2_P5_176254	A21_05_C2_P5_338209	A21_05_C2_P5_620018	A21_05_C2_P5_95513	A21_05_C2_P5_195159	A21_05_C2_P5_296009	A21_05_C2_P5_236272	A21_05_C2_P5_159230	A21_05_C2_P5_821263	A21_05_C2_P5_273470	A21_05_C2_P5_303651	A21_05_C2_P5_394590	A21_05_C2_P5_137247	A21_05_C2_P5_345140	A21_05_C2_P5_432962	A21_05_C2_P5_811488	A21_05_C2_P5_506171	A21_05_C2_P5_538224	A21_05_C2_P5_830809	A21_05_C2_P5_750516	A21_05_C2_P5_230762	A21_05_C2_P5_454049	A21_05_C2_P5_800935	A21_05_C2_P5_525352	A21_05_C2_P5_536476	A21_05_C2_P5_689338	A21_05_C2_P5_762880	A21_05_C2_P5_856701	A21_05_C2_P5_528842	A21_05_C2_P5_405914	A21_05_C2_P5_514433	A21_05_C2_P5_159909	A21_05_C2_P5_382146	A21_05_C2_P5_432396	A21_05_C2_P5_646775	A21_05_C2_P5_384399	A21_05_C2_P5_135343	A21_05_C2_P5_135361	A21_05_C2_P5_822297	A21_05_C2_P5_380835	A21_05_C2_P5_81754	A21_05_C2_P5_148457	A21_05_C2_P5_35506	A21_05_C2_P5_284533	A21_05_C2_P5_28165	A21_05_C2_P5_634752	A21_05_C2_P5_625288
CD3EAP	0.377	0.000	0.000	0.000	0.561	0.575	0.000	0.587	0.977	0.587	0.617	0.613	0.000	0.643	0.000	0.000	0.000	0.000	0.000	0.000	0.679	0.000	0.000	0.000	0.000	0.000	0.000	0.715	0.000	0.000	0.000	0.000	0.723	0.000	0.000	1.171	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.751	0.000	0.000	0.000	0.000	1.176	0.000	0.000	0.000	0.000	1.514	0.000	0.000	0.000	0.000	0.000	0.000	0.803	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.869	0.855	0.864	0.000	0.000	0.000	0.000	0.000	0.984	0.000	1.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CD4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CD7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CD82	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.736	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDC20	1.190	0.000	0.558	1.176	0.000	1.204	0.000	1.756	0.977	1.434	0.000	0.000	0.993	0.000	1.847	1.712	0.000	0.650	0.000	1.071	1.586	0.000	0.000	0.000	1.375	1.404	0.000	0.000	1.126	0.000	0.000	0.723	0.000	0.780	0.728	0.000	1.442	0.000	2.018	0.000	0.000	1.881	0.744	0.000	1.701	0.000	1.693	0.776	0.000	0.768	0.769	0.764	0.000	0.780	0.783	0.783	1.524	0.790	0.000	0.796	0.803	0.000	0.000	1.245	0.000	0.000	0.000	2.163	0.851	0.000	1.626	0.000	0.000	1.320	0.000	0.000	0.000	2.202	0.000	1.471	1.798	0.000	0.000	1.845	1.038	0.000	0.000	2.262	0.000
CDC25A	0.000	0.000	0.000	0.000	0.561	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.637	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.739	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.226	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDC25B	0.000	0.000	0.000	0.000	0.000	0.575	0.000	0.587	0.000	0.587	0.000	0.000	0.993	0.000	0.637	1.035	0.000	0.650	0.661	0.000	1.365	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.715	0.000	0.000	0.780	0.000	0.000	0.731	0.739	0.000	0.000	0.752	1.170	0.744	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.783	0.000	0.000	0.000	0.000	0.803	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.334	1.439	0.000	0.000	1.473	1.006	0.000	1.021	1.536	1.077	0.000	0.000	1.178
CDC25C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.587	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.679	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.739	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDC42EP3	1.633	1.063	1.701	1.555	1.707	0.575	1.864	1.999	1.916	1.757	2.341	1.805	1.266	2.107	1.517	1.863	1.702	2.002	0.000	1.910	0.679	1.081	1.085	2.304	2.066	1.114	2.438	2.235	0.714	1.434	0.000	1.138	1.431	1.745	2.364	1.171	0.731	1.682	2.018	2.297	0.752	2.582	0.744	1.472	1.701	2.320	2.290	2.544	2.044	0.768	1.728	1.193	1.909	1.212	1.217	1.217	1.222	0.000	1.551	1.233	1.547	1.982	1.249	1.245	1.572	1.825	1.581	2.422	2.042	1.611	1.863	0.869	0.855	1.320	2.597	0.881	0.000	2.202	1.764	0.000	2.241	1.006	1.505	1.021	2.314	1.077	1.635	0.000	1.704
CDC42EP4	1.040	0.000	0.000	0.000	0.918	0.938	0.000	1.222	0.000	0.955	1.485	0.000	0.615	0.000	1.022	0.646	0.640	1.320	1.056	0.000	0.000	0.000	0.000	0.000	1.089	0.000	0.715	0.715	0.714	0.000	1.127	1.138	0.723	0.000	1.144	0.748	1.442	0.739	0.736	0.000	0.752	0.000	0.744	0.000	0.000	0.764	0.000	1.208	0.752	1.197	0.000	0.000	0.000	0.000	0.000	0.000	1.222	0.000	0.000	0.000	0.000	0.000	1.249	0.000	1.265	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.959	0.960	0.000	0.000	1.006	0.000	1.021	0.000	1.077	0.000	0.000	0.000
CDC45	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.615	0.000	0.000	0.000	0.000	1.040	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.787	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.859	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.038	0.000	0.000	0.000	0.000
CDC6	0.377	0.000	0.000	0.000	0.918	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.615	0.000	0.637	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.752	0.000	0.000	0.000	0.000	0.000	0.746	0.000	0.000	0.768	0.000	0.000	0.000	0.780	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.834	0.000	0.826	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDCA2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.587	0.000	0.000	0.000	0.000	0.637	1.035	0.000	0.000	1.056	0.000	0.679	0.000	0.000	0.000	1.779	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.454	0.000	0.000	0.000	0.747	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.193	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.808	0.000	0.000	0.000	0.000	1.579	0.000	0.000	0.859	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.038	0.000	1.120	0.000	0.000
CDCA3	0.000	0.000	0.000	0.914	0.000	0.000	0.000	0.587	0.000	0.000	0.996	0.000	0.615	0.643	0.637	0.646	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.089	0.000	0.715	0.000	0.000	0.000	0.000	0.723	0.000	0.000	0.000	0.000	0.000	1.159	0.000	0.000	0.000	1.467	1.165	0.000	0.751	0.000	1.169	0.000	0.000	0.000	0.769	0.000	0.765	0.000	0.000	1.217	0.787	0.000	0.000	0.000	0.803	0.000	0.000	0.805	0.000	0.000	0.827	0.826	0.000	0.000	0.000	0.000	0.000	0.864	0.000	0.000	0.000	0.000	0.000	0.000	0.986	0.000	1.012	1.021	0.000	1.077	0.000	0.000	0.000
CDCA4	0.377	0.000	0.000	0.000	1.180	0.000	0.000	0.954	0.000	0.000	0.000	0.000	0.000	0.000	0.637	0.000	0.000	0.650	0.000	0.000	0.000	0.680	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.725	0.000	0.000	0.000	0.780	0.000	0.000	0.731	0.739	0.736	0.000	0.000	1.170	0.000	0.000	0.751	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.855	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.021	0.000	0.000	0.000	0.000	0.000
CDCA5	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.587	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.646	0.000	0.000	0.000	0.672	0.679	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.826	0.000	0.000	0.859	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.120	0.000	0.000
CDCA7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.650	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.764	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.851	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDCA7L	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.650	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.731	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.780	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.272	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDCA8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.222	0.000	0.587	0.000	0.000	0.000	0.000	1.022	1.035	0.000	0.000	0.000	0.000	1.080	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.739	0.736	0.000	0.000	0.747	0.000	0.000	0.000	0.000	0.746	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.787	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.272	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.006	1.505	1.021	0.000	0.000	0.000	0.000	0.000
CDCP1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDH11	1.321	1.260	0.558	0.914	1.707	0.575	1.736	0.954	1.786	0.000	1.485	0.613	1.266	1.311	1.022	1.533	1.524	1.040	0.000	0.000	1.080	0.000	0.683	0.694	1.375	0.000	0.000	2.235	1.126	0.725	1.127	0.000	1.139	1.745	0.728	1.171	0.731	1.867	0.736	0.000	1.702	1.695	0.744	0.751	1.473	0.000	0.746	1.508	0.752	1.197	1.198	0.000	1.193	1.212	0.000	0.000	0.000	0.000	0.806	1.536	1.547	1.254	0.000	0.805	0.821	0.834	1.581	0.000	0.000	0.849	1.626	0.000	1.309	1.633	0.867	1.342	0.000	0.959	0.000	0.000	1.473	0.000	1.012	0.000	0.000	0.000	0.000	0.000	1.178
CDH13	0.000	0.817	0.914	0.000	0.561	0.000	0.000	0.000	0.000	0.000	0.000	0.613	0.615	0.643	0.000	0.000	0.000	0.650	0.661	0.672	0.000	1.081	0.000	0.000	0.000	0.000	0.715	0.000	1.126	0.000	0.715	0.723	1.139	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.752	0.747	0.000	0.751	0.000	0.000	0.000	0.000	0.000	0.000	1.728	0.000	0.000	0.000	0.000	0.000	0.000	0.790	0.000	0.796	0.000	0.812	0.000	0.000	0.000	0.834	0.000	1.272	0.000	0.000	0.000	0.869	0.000	0.000	0.000	0.000	0.875	0.000	0.000	0.000	0.000	1.006	1.012	0.000	0.000	0.000	0.000	0.000	0.000
CDH18	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDH2	1.436	1.690	1.383	1.702	1.180	0.575	1.415	1.607	1.786	0.955	1.270	1.478	0.000	1.311	1.022	1.035	0.000	0.650	0.661	1.757	1.768	0.680	0.683	1.611	1.597	1.811	1.644	1.418	1.826	0.725	0.715	1.656	0.000	1.514	1.144	2.399	1.442	1.454	0.736	1.700	2.180	1.467	2.031	2.043	2.405	1.491	1.465	2.448	0.000	0.768	1.497	0.764	1.722	1.745	1.750	1.217	0.000	1.760	1.246	0.796	0.000	0.812	1.554	1.550	1.265	1.825	0.000	2.163	1.304	0.849	0.859	1.327	2.048	1.633	0.867	1.342	1.648	1.439	2.007	1.796	0.000	1.497	1.505	0.000	1.536	1.583	0.000	1.147	0.000
CDH23	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDH4	0.000	0.000	0.000	0.000	0.561	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.615	0.000	0.637	0.000	0.000	0.000	0.000	0.000	0.000	0.680	0.000	0.000	0.686	0.000	0.000	0.000	1.126	0.000	0.000	0.000	0.000	0.780	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.165	0.000	0.000	1.192	0.000	0.000	0.000	0.000	0.000	0.764	0.000	0.000	0.000	0.783	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.834	0.000	0.826	0.000	0.000	0.859	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDK1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.728	0.000	0.000	0.000	0.000	0.000	0.000	1.467	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.803	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.875	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDK2	0.000	0.000	0.558	0.914	0.918	0.938	0.000	0.954	0.000	0.587	0.000	0.000	0.993	0.000	0.000	0.000	0.000	0.000	0.000	1.071	1.365	0.000	0.683	1.100	1.779	0.000	0.000	0.000	0.000	0.725	0.715	0.723	0.000	0.000	0.000	0.000	0.731	0.739	1.155	0.000	0.000	0.747	0.744	0.000	0.000	0.000	1.169	0.000	0.752	0.000	0.769	0.000	0.000	0.000	0.783	0.783	0.787	0.000	0.806	0.796	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.851	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.439	0.000	0.984	0.986	1.497	1.834	0.000	1.038	0.000	1.635	1.147	0.000
CDK5RAP2	0.377	0.000	0.914	0.000	0.561	0.575	0.000	0.587	0.603	0.587	0.617	0.000	0.993	0.000	1.696	0.000	0.000	0.650	0.000	0.000	0.679	0.000	0.000	0.000	0.686	0.000	0.000	0.715	0.000	0.000	1.127	0.000	0.723	0.000	0.000	0.000	0.000	0.739	0.000	0.000	0.000	0.747	0.744	0.751	0.000	0.000	1.169	0.000	1.176	0.768	0.000	0.000	0.000	0.780	1.217	0.000	0.787	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.851	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.960	0.000	0.986	0.000	0.000	0.000	0.000	0.000	1.120	0.000	0.000
CDK6	0.377	1.260	0.558	0.000	1.388	0.000	0.939	0.000	0.977	0.587	0.000	0.991	0.615	1.529	0.000	0.000	0.640	0.000	1.738	0.000	0.000	0.680	0.000	0.694	0.686	0.000	0.715	0.715	1.417	1.434	1.419	1.138	0.000	1.213	0.000	1.171	0.000	0.000	1.677	1.175	1.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.198	0.000	0.000	0.780	0.783	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.821	0.000	0.000	0.826	1.304	1.611	0.000	0.000	1.309	0.000	0.867	0.000	1.334	0.000	0.000	0.000	0.000	1.006	0.000	0.000	0.000	0.000	0.000	0.000	1.178
CDKN1A	1.321	0.817	0.000	1.383	0.918	0.000	1.736	1.433	1.248	0.587	2.493	1.805	1.481	1.707	0.000	0.000	1.028	1.539	0.000	0.672	0.000	0.000	1.371	0.000	0.000	0.705	2.814	1.643	2.523	1.141	0.000	2.355	1.658	0.000	0.000	0.000	0.731	0.739	0.736	0.000	0.752	0.000	0.000	0.000	0.000	0.764	0.000	1.739	0.000	0.768	1.198	0.000	1.492	0.780	1.217	0.783	2.238	0.790	0.806	1.233	0.000	0.000	1.976	0.000	1.806	1.590	0.827	0.000	0.000	0.849	0.859	0.000	0.855	0.000	1.324	0.000	0.875	0.000	0.000	1.471	0.986	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.178
CDKN1C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.834	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDKN2A	0.650	0.000	0.914	0.000	0.000	0.000	0.576	0.000	0.000	0.587	0.000	0.000	0.615	0.000	0.637	0.000	0.000	1.320	0.000	0.000	0.679	0.000	0.000	0.000	0.000	0.000	1.128	0.000	0.714	0.725	0.000	0.000	0.723	0.000	0.000	0.000	1.149	0.000	0.000	0.751	0.000	0.000	0.000	0.000	0.000	0.000	0.746	0.000	0.000	0.000	0.769	0.000	0.000	0.000	0.783	0.783	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.826	0.000	0.000	0.000	0.000	0.000	0.864	1.324	0.000	0.000	0.000	0.000	0.000	0.000	1.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDKN2B	0.000	0.490	0.558	0.000	0.000	0.000	0.000	0.000	0.603	0.000	0.000	0.613	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.139	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.744	0.000	0.000	0.000	0.000	0.776	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.806	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.984	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
