GeneSymbol	A21_05_C2_P5_627989	A21_05_C2_P5_128351	A21_05_C2_P5_307432	A21_05_C2_P5_162218	A21_05_C2_P5_755916	A21_05_C2_P5_787444	A21_05_C2_P5_352352	A21_05_C2_P5_438815	A21_05_C2_P5_70683	A21_05_C2_P5_232986	A21_05_C2_P5_871915	A21_05_C2_P5_142405	A21_05_C2_P5_383696	A21_05_C2_P5_190510	A21_05_C2_P5_859759	A21_05_C2_P5_617183	A21_05_C2_P5_576934	A21_05_C2_P5_283019	A21_05_C2_P5_596460	A21_05_C2_P5_654803	A21_05_C2_P5_253471	A21_05_C2_P5_506975	A21_05_C2_P5_239328	A21_05_C2_P5_317515	A21_05_C2_P5_195085	A21_05_C2_P5_683878	A21_05_C2_P5_414797	A21_05_C2_P5_170324	A21_05_C2_P5_51980	A21_05_C2_P5_504840	A21_05_C2_P5_200807	A21_05_C2_P5_300103	A21_05_C2_P5_845053	A21_05_C2_P5_123870	A21_05_C2_P5_484043	A21_05_C2_P5_417735	A21_05_C2_P5_768487	A21_05_C2_P5_657834	A21_05_C2_P5_296097	A21_05_C2_P5_117136	A21_05_C2_P5_80111	A21_05_C2_P5_703673	A21_05_C2_P5_176254	A21_05_C2_P5_338209	A21_05_C2_P5_620018	A21_05_C2_P5_95513	A21_05_C2_P5_195159	A21_05_C2_P5_296009	A21_05_C2_P5_236272	A21_05_C2_P5_159230	A21_05_C2_P5_821263	A21_05_C2_P5_273470	A21_05_C2_P5_303651	A21_05_C2_P5_394590	A21_05_C2_P5_137247	A21_05_C2_P5_345140	A21_05_C2_P5_432962	A21_05_C2_P5_811488	A21_05_C2_P5_506171	A21_05_C2_P5_538224	A21_05_C2_P5_830809	A21_05_C2_P5_750516	A21_05_C2_P5_230762	A21_05_C2_P5_454049	A21_05_C2_P5_800935	A21_05_C2_P5_525352	A21_05_C2_P5_536476	A21_05_C2_P5_689338	A21_05_C2_P5_762880	A21_05_C2_P5_856701	A21_05_C2_P5_528842	A21_05_C2_P5_405914	A21_05_C2_P5_514433	A21_05_C2_P5_159909	A21_05_C2_P5_382146	A21_05_C2_P5_432396	A21_05_C2_P5_646775	A21_05_C2_P5_384399	A21_05_C2_P5_135343	A21_05_C2_P5_135361	A21_05_C2_P5_822297	A21_05_C2_P5_380835	A21_05_C2_P5_81754	A21_05_C2_P5_148457	A21_05_C2_P5_35506	A21_05_C2_P5_284533	A21_05_C2_P5_28165	A21_05_C2_P5_634752	A21_05_C2_P5_625288
SSPN	0.000	0.490	0.000	0.000	0.000	0.000	0.576	0.000	0.000	0.000	0.000	0.613	0.615	0.000	0.637	0.000	0.000	0.000	0.000	0.000	0.000	1.366	0.000	0.694	0.000	0.000	0.000	1.418	0.000	0.000	0.000	0.000	0.000	0.000	1.144	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.746	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.787	0.000	0.000	0.796	0.000	0.000	0.808	0.000	0.821	0.000	0.000	0.000	0.851	0.849	0.000	0.000	0.000	0.000	1.324	0.000	0.000	0.000	0.000	0.000	0.986	1.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SSR3	2.119	2.515	2.617	2.137	2.142	2.896	2.337	1.885	1.461	2.001	2.561	1.935	2.556	2.545	1.978	1.712	2.300	2.223	2.579	2.160	1.080	2.278	2.284	2.081	2.184	1.811	2.525	1.982	2.603	2.455	1.419	2.130	1.842	2.091	2.004	2.173	2.466	2.277	2.018	2.588	2.745	2.172	2.392	2.404	2.299	2.320	2.396	2.221	2.180	2.530	2.531	2.427	2.613	2.090	2.725	2.556	2.358	2.812	1.784	2.577	2.385	2.142	2.767	1.972	1.996	2.729	0.827	2.301	2.042	2.337	2.354	1.639	2.991	1.320	2.597	1.656	2.079	2.366	0.000	1.796	0.986	1.497	0.000	1.845	2.314	1.583	1.973	2.632	2.302
SSRP1	1.190	1.800	1.555	0.914	1.388	1.587	1.205	1.222	0.603	1.434	0.996	0.991	1.266	1.529	1.022	0.646	1.702	0.650	0.661	1.355	0.679	0.680	1.085	1.793	1.933	0.705	0.715	0.715	0.000	1.660	0.715	1.840	1.431	1.745	1.438	1.171	1.149	0.739	1.155	0.000	1.888	1.467	0.000	1.175	0.751	0.000	1.465	1.208	0.752	2.433	0.769	0.764	2.066	0.000	0.783	1.217	1.755	1.226	0.806	1.536	1.243	0.812	1.787	1.245	1.265	0.834	1.581	1.272	1.614	0.000	1.626	0.000	0.855	1.320	0.867	0.881	1.648	0.959	1.440	0.984	1.473	1.006	1.505	0.000	1.536	1.077	0.000	1.147	0.000
SSX2IP	0.000	0.817	0.558	0.000	0.000	0.000	0.000	0.587	0.000	0.000	0.996	0.991	0.000	0.643	1.022	0.000	0.000	0.000	0.661	0.000	0.000	0.000	0.000	0.000	1.089	0.705	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.747	0.000	0.000	0.000	0.000	0.746	0.000	0.000	0.000	0.000	0.764	0.765	0.780	0.000	0.783	0.787	0.000	0.806	0.000	0.000	0.000	0.000	0.000	0.821	0.000	1.274	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ST13P18	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ST6GAL2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
STAT1	0.864	0.817	1.176	0.914	0.000	0.938	1.415	1.885	0.000	0.955	0.000	0.613	0.993	0.000	0.637	0.000	1.524	0.650	1.056	0.000	0.679	0.680	1.371	0.694	1.597	0.705	0.000	0.000	0.714	1.141	1.127	0.723	1.139	0.780	0.728	1.171	0.000	1.159	1.677	1.175	0.000	0.747	0.744	0.000	1.176	1.192	0.746	0.000	0.752	0.000	0.769	0.000	1.193	0.000	0.783	1.217	1.222	1.226	1.551	0.796	0.803	0.812	0.808	0.805	0.821	0.000	0.000	0.000	0.851	0.000	0.000	0.000	0.000	0.864	0.867	0.881	0.875	0.000	0.000	1.471	0.986	0.000	0.000	0.000	0.000	1.077	0.000	0.000	1.704
STC1	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.270	0.613	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.705	0.000	0.000	0.000	0.000	0.000	1.656	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.752	0.000	0.000	0.764	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
STC2	1.633	1.063	1.701	1.383	1.560	0.938	0.939	0.954	1.461	0.955	0.617	1.264	0.000	1.991	2.531	0.000	1.306	0.650	1.891	1.355	1.080	0.680	1.593	0.000	1.597	1.811	1.419	0.715	1.981	0.000	1.644	0.723	1.842	0.000	0.728	1.171	0.000	0.739	1.450	1.471	1.473	1.170	1.461	0.000	1.176	1.721	1.169	0.000	2.299	0.000	0.769	0.764	1.492	0.780	0.783	1.518	1.222	0.000	0.806	1.769	0.000	1.559	1.249	1.245	0.821	0.834	0.827	1.272	0.000	0.000	1.626	1.877	1.620	2.483	2.228	0.881	1.334	0.959	1.440	1.796	0.000	1.006	0.000	0.000	1.038	1.077	1.120	1.147	1.178
STEAP1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.694	0.000	0.000	0.000	0.715	0.000	0.000	0.715	0.000	0.000	0.780	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.751	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.821	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.855	0.000	0.000	0.000	0.000	0.000	0.960	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.147	0.000
STIL	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.954	0.000	0.587	0.000	0.000	0.993	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.679	0.000	0.000	0.000	1.089	0.000	0.000	0.000	0.000	0.000	0.715	0.723	0.000	0.000	0.000	0.000	0.000	0.739	0.000	0.000	0.000	0.747	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.249	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
STIP1	0.650	0.817	0.558	0.558	0.561	0.575	0.000	0.000	0.603	0.955	0.617	0.991	0.615	0.000	1.300	1.533	0.000	0.650	0.000	0.672	1.586	0.000	0.683	1.100	0.000	0.705	1.128	0.000	0.000	1.141	1.127	1.656	0.723	1.213	1.144	0.000	0.731	0.739	1.155	0.000	0.000	0.000	0.000	0.751	0.751	1.192	1.169	0.000	0.752	1.197	0.769	0.764	0.000	0.000	0.000	0.783	0.000	1.226	0.806	0.796	0.803	0.000	0.808	0.805	0.000	0.000	0.000	0.826	0.851	0.849	0.859	0.000	0.855	0.000	0.000	1.342	0.875	0.000	0.000	0.984	0.000	1.006	0.000	1.845	0.000	0.000	1.120	1.147	0.000
STK17B	0.377	0.000	0.914	0.000	0.000	0.000	0.576	0.587	0.603	0.000	0.000	0.000	1.266	0.000	0.000	0.000	0.000	0.000	0.661	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.139	0.000	0.000	1.171	0.000	1.159	0.000	0.000	0.752	1.467	0.744	1.175	0.000	0.764	0.000	0.000	0.752	1.197	0.000	0.000	0.000	0.780	1.217	0.000	0.787	0.000	0.000	0.000	0.803	0.000	0.808	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.855	0.000	1.324	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
STMN1	1.718	1.690	1.942	2.439	0.000	2.172	2.173	2.431	1.916	1.886	1.485	2.050	2.250	1.991	2.198	2.111	1.985	2.317	1.891	1.576	2.459	1.588	1.593	2.304	1.933	1.628	2.236	1.127	1.417	0.000	2.236	1.656	1.431	1.514	2.628	2.038	2.370	2.023	2.272	2.500	1.888	2.037	2.166	2.298	2.405	1.721	2.396	1.927	2.406	2.207	0.000	2.612	2.202	1.932	1.518	2.232	2.650	2.243	1.551	1.769	2.128	1.559	2.597	1.550	2.293	2.176	1.816	1.814	2.985	1.611	1.626	2.230	2.347	2.361	2.228	1.895	1.886	2.202	2.007	2.239	2.044	2.269	2.080	2.722	1.536	1.917	2.225	3.013	1.178
STMN2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.672	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.714	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.812	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
STRA6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
