GeneSymbol	A21_05_C3_P5_438326	A21_05_C3_P5_80000	A21_05_C3_P5_675243	A21_05_C3_P5_39323	A21_05_C3_P5_540516	A21_05_C3_P5_675883	A21_05_C3_P5_795538	A21_05_C3_P5_192610	A21_05_C3_P5_201880	A21_05_C3_P5_426236	A21_05_C3_P5_119081	A21_05_C3_P5_243946	A21_05_C3_P5_677988	A21_05_C3_P5_722696	A21_05_C3_P5_385496	A21_05_C3_P5_555709	A21_05_C3_P5_160648	A21_05_C3_P5_114001	A21_05_C3_P5_631908	A21_05_C3_P5_341331	A21_05_C3_P5_810696	A21_05_C3_P5_451659	A21_05_C3_P5_167316	A21_05_C3_P5_730545	A21_05_C3_P5_4191	A21_05_C3_P5_306948	A21_05_C3_P5_799333	A21_05_C3_P5_51050
CTSH	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.379	0.000	0.000	0.000	0.000	0.000	0.000	0.741	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CTSK	1.586	1.706	1.232	0.685	1.750	1.820	1.507	1.550	1.237	0.000	1.663	1.300	2.278	1.961	1.351	0.918	1.476	1.418	1.434	1.162	1.798	1.159	1.822	0.457	0.995	1.630	1.857	1.280
CTSL	1.118	0.754	1.037	0.838	2.161	2.251	1.206	2.350	0.967	1.146	0.997	1.774	1.441	2.295	1.219	1.255	1.597	1.643	1.298	1.321	0.444	0.739	0.455	0.770	0.995	1.207	0.789	0.832
CTSO	0.377	0.248	0.474	0.504	0.312	0.000	0.940	0.000	0.000	0.620	0.825	0.368	1.441	0.662	0.390	0.406	0.754	0.420	1.298	0.000	0.444	0.436	0.455	0.000	0.000	0.776	0.789	0.500
CXCL1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CXCL12	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.848	0.379	0.000	0.000	0.000	0.446	0.000	0.725	0.438	1.472	0.000	0.000	0.000	0.000	0.776	0.000	0.500
CXCL14	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CXCL2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.444	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CXCL3	0.000	0.000	0.000	0.000	0.312	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CXCL5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.379	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.444	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CXCL6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CXCL8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CXXC5	0.377	0.612	0.923	0.504	0.312	0.553	0.775	0.602	0.342	0.000	0.000	0.000	0.379	0.385	0.000	0.406	0.000	0.420	0.000	0.000	0.000	0.000	0.766	0.000	0.450	0.461	0.000	0.000
CYB561	0.000	0.248	0.000	0.504	0.000	0.000	0.329	0.000	0.342	0.357	0.356	0.848	0.000	0.385	0.000	0.406	0.000	0.420	0.000	0.438	0.000	0.000	0.766	0.770	0.000	0.000	0.470	0.000
CYB561A3	0.762	0.248	0.648	0.970	0.312	0.553	0.577	0.345	0.596	0.620	0.000	0.848	0.653	0.879	0.669	0.000	0.446	0.420	0.725	0.741	0.444	0.436	0.455	0.000	0.450	0.000	0.470	0.000
CYCS	0.762	1.179	1.714	0.838	1.270	1.046	0.329	1.358	0.799	1.146	0.997	1.171	0.653	0.879	1.351	1.388	0.989	1.127	0.000	0.741	0.000	1.454	0.455	0.770	0.995	0.776	0.000	0.832
CYGB	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.446	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CYP1B1	0.649	1.803	0.000	0.685	1.457	2.251	1.507	0.805	0.000	1.388	0.618	0.368	1.638	0.000	0.669	0.406	1.476	0.714	1.298	0.741	0.444	1.317	0.000	0.457	0.000	1.508	0.000	1.824
