GeneSymbol	A21_05_C3_P5_438326	A21_05_C3_P5_80000	A21_05_C3_P5_675243	A21_05_C3_P5_39323	A21_05_C3_P5_540516	A21_05_C3_P5_675883	A21_05_C3_P5_795538	A21_05_C3_P5_192610	A21_05_C3_P5_201880	A21_05_C3_P5_426236	A21_05_C3_P5_119081	A21_05_C3_P5_243946	A21_05_C3_P5_677988	A21_05_C3_P5_722696	A21_05_C3_P5_385496	A21_05_C3_P5_555709	A21_05_C3_P5_160648	A21_05_C3_P5_114001	A21_05_C3_P5_631908	A21_05_C3_P5_341331	A21_05_C3_P5_810696	A21_05_C3_P5_451659	A21_05_C3_P5_167316	A21_05_C3_P5_730545	A21_05_C3_P5_4191	A21_05_C3_P5_306948	A21_05_C3_P5_799333	A21_05_C3_P5_51050
IL1R1	1.040	1.089	0.648	0.000	1.368	0.314	1.206	0.975	1.449	0.000	0.825	0.848	1.326	1.961	1.351	0.000	1.179	0.714	0.725	0.000	0.751	0.971	1.355	0.457	0.450	1.739	1.759	1.446
IL1RN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IL32	0.000	0.447	0.000	0.000	0.549	0.314	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.385	0.390	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500
IL33	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IL6	0.000	0.000	0.000	0.000	0.000	0.000	0.577	0.000	0.342	0.000	0.000	0.000	0.000	0.385	0.000	0.000	0.000	0.000	0.725	0.000	0.000	0.436	0.000	0.000	0.000	0.000	0.000	0.000
IL6R	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IL7R	0.000	0.000	0.000	0.000	0.000	0.000	0.329	0.345	0.000	0.357	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ILDR2	0.206	0.000	0.000	0.504	0.000	0.000	0.000	0.000	0.000	0.357	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
INCENP	0.000	0.000	0.000	0.000	0.000	0.000	0.329	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.457	0.450	0.000	0.000	0.000
INHBA	0.956	1.339	1.232	0.838	2.749	2.890	1.416	1.913	1.349	1.146	0.618	0.368	2.125	1.057	0.000	0.406	0.754	1.643	0.725	1.321	0.985	2.331	0.000	0.457	0.000	0.000	1.225	1.081
INPP4B	0.000	0.612	0.000	0.504	0.000	0.000	0.577	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.455	0.000	0.000	0.461	0.000	0.000
INPP5D	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.368	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
INSIG1	0.377	0.612	0.000	0.000	0.000	1.375	0.329	1.119	1.237	0.828	1.384	0.848	1.326	0.879	0.000	0.406	0.754	1.127	0.954	0.438	0.444	0.739	0.455	1.200	0.000	0.776	1.387	1.280
INSYN2B	0.000	0.000	0.000	0.000	0.000	0.314	0.000	0.805	0.000	0.000	0.000	0.637	0.000	0.385	0.000	0.406	0.000	0.000	0.000	0.000	0.751	0.000	0.000	0.457	0.995	0.000	0.000	0.000
IQCA1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.379	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.832
IQGAP2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IQGAP3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IRF1	0.000	0.000	0.000	0.000	0.312	0.000	0.000	0.000	0.596	0.000	0.000	0.000	0.000	0.000	0.390	0.000	0.000	0.000	0.000	0.741	0.000	0.436	0.766	0.000	0.450	0.000	0.000	0.000
IRS2	0.000	0.447	0.000	0.000	0.549	0.746	0.000	0.345	0.000	0.000	1.143	0.000	0.379	0.000	0.390	1.100	0.754	1.283	0.725	0.000	0.751	0.436	0.000	0.770	0.450	0.776	0.000	0.000
ISG15	0.762	0.000	0.265	0.685	0.549	1.168	0.000	0.345	0.342	0.000	0.356	0.000	0.000	0.385	0.390	0.406	0.446	0.420	1.298	0.000	0.000	0.000	0.000	1.008	0.000	0.461	1.030	0.000
ISLR	0.956	1.179	1.037	1.374	1.685	1.546	1.082	1.119	0.799	1.744	1.143	0.368	1.326	2.246	1.467	1.388	1.802	1.127	0.725	0.438	1.335	0.739	1.822	1.499	1.605	0.461	1.759	1.446
ITGA1	0.000	0.248	0.265	0.283	0.741	0.314	0.000	0.000	0.342	0.000	0.000	0.368	0.379	0.385	0.000	0.000	0.000	0.000	0.427	0.741	0.444	0.436	0.455	0.000	0.000	0.000	0.000	0.000
ITGA11	0.000	0.612	0.474	0.000	0.000	0.314	0.329	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.942	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ITGA2	0.377	0.248	0.265	0.283	0.000	0.746	0.000	0.345	0.000	0.357	0.000	0.637	0.000	0.662	0.390	0.000	0.000	0.714	0.000	0.000	0.000	0.000	0.000	0.000	0.759	0.461	0.000	0.000
ITGA4	0.000	0.000	0.265	0.000	0.000	0.314	0.775	0.345	0.000	0.000	0.000	0.637	0.653	0.000	0.000	0.694	0.000	0.714	0.725	0.000	0.444	0.000	0.455	0.770	0.759	0.000	0.000	0.000
ITGAX	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ITGB3BP	0.206	0.000	0.000	0.000	0.000	0.000	0.329	0.000	0.799	0.000	0.000	0.000	0.379	0.000	0.000	0.000	0.446	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500
ITGB8	0.000	0.447	0.000	0.000	0.312	0.000	0.000	0.602	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.918	0.000	0.420	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500
ITGBL1	1.676	2.275	1.998	1.192	1.539	1.933	1.866	1.711	1.349	2.215	1.663	1.023	1.944	1.208	1.752	1.707	1.179	2.177	1.925	2.437	0.444	0.971	1.494	1.729	0.759	1.508	1.225	1.081
ITM2A	0.000	0.000	0.265	0.685	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.714	0.000	0.000	0.000	0.000	1.003	0.000	0.000	0.000	0.000	0.000
ITM2C	1.118	1.339	0.795	0.685	0.741	0.314	1.666	1.246	1.111	0.620	0.618	0.848	1.195	1.208	0.888	0.918	1.705	0.420	0.725	0.741	0.444	1.159	0.766	1.200	0.450	1.207	1.650	0.000
JAG2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.368	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
JAKMIP2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.357	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.450	0.000	0.000	0.000
JAKMIP3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
JAM2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
JCAD	0.206	0.248	0.265	0.838	0.549	0.907	0.577	0.345	0.799	0.357	0.356	0.000	0.000	0.662	0.390	0.694	0.446	0.420	1.298	0.000	0.751	0.971	0.000	0.457	0.000	0.000	0.470	1.081
JPT1	0.377	0.447	0.795	0.504	0.312	0.553	0.577	0.805	0.967	0.828	0.825	0.368	0.379	0.385	0.390	0.694	0.000	0.000	0.725	0.741	0.444	0.000	0.000	0.457	0.450	0.000	1.225	0.000
JPT2	0.206	0.000	0.474	0.838	0.312	0.000	0.000	0.345	0.596	0.620	0.825	0.000	0.000	0.000	0.000	0.000	0.000	0.714	0.000	0.000	0.000	0.000	0.455	0.770	0.450	0.776	0.000	0.000
JUN	0.956	0.612	0.265	1.374	0.741	0.553	0.940	0.345	0.596	0.000	0.000	0.848	0.379	0.385	0.390	0.918	0.754	0.420	1.434	0.000	0.444	0.739	1.003	0.457	0.000	0.461	0.000	0.832
JUP	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.406	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KCND2	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.879	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.457	0.000	0.000	0.000	0.000
KCNE4	0.206	0.447	0.000	1.374	0.000	1.046	0.000	0.000	0.000	0.000	0.618	0.000	0.653	0.879	0.390	0.406	0.446	0.000	0.000	0.438	0.000	0.000	0.766	0.000	0.000	0.000	0.000	1.446
KCNH1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.446	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KCNJ2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KCNK2	0.206	1.179	0.923	0.504	1.162	1.277	0.329	1.634	1.449	0.357	0.997	0.848	1.326	1.057	1.219	1.100	0.446	1.127	1.141	0.741	0.444	0.971	1.355	1.361	0.759	0.461	1.225	1.713
KCNK6	0.206	0.000	0.000	0.000	0.000	0.000	0.329	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KCNMA1	0.000	0.000	0.000	0.000	0.000	0.314	0.000	0.602	0.000	0.357	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.438	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KCNQ1OT1	0.000	0.000	0.265	0.685	0.000	0.000	0.000	0.000	0.342	0.000	0.000	0.000	0.000	0.662	0.000	0.000	0.446	0.000	0.725	0.438	0.000	0.436	0.000	0.457	0.000	0.000	0.470	0.000
KCNQ5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KCTD12	1.320	1.179	1.317	0.970	2.420	1.546	1.206	1.459	1.541	0.828	1.384	1.300	1.803	1.455	1.752	1.611	1.476	1.418	1.553	1.321	0.000	1.948	1.494	1.499	1.346	0.461	1.527	0.500
KHDRBS3	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.406	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.450	0.000	0.000	0.000
KIAA0586	0.000	0.248	0.265	0.000	0.312	0.000	0.329	0.000	0.000	0.620	0.000	0.000	0.000	0.385	0.000	0.406	0.000	0.000	0.000	0.438	0.000	0.000	0.455	0.457	0.450	0.000	0.470	0.000
KIF11	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.390	0.000	0.000	0.000	0.000	0.438	0.000	0.000	0.000	0.000	0.000	0.461	0.000	0.000
KIF14	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF15	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.438	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF18A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF18B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF20A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF20B	0.000	0.248	0.000	0.283	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.751	0.000	0.000	0.000	0.450	0.461	0.000	0.000
KIF21A	0.000	0.000	0.000	0.000	0.000	0.553	0.000	0.345	0.342	0.620	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.420	0.000	0.000	0.000	0.000	0.455	0.000	0.000	0.461	0.000	0.000
KIF22	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.357	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.427	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF23	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.356	0.000	0.000	0.000	0.000	0.000	0.446	0.420	0.427	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF26A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF26B	0.206	0.000	0.000	0.000	0.312	1.277	0.329	1.119	0.967	0.000	0.825	1.300	0.653	0.662	0.390	0.918	1.597	0.420	0.725	0.000	0.751	0.000	0.455	0.000	0.450	1.837	0.789	0.000
KIF2C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.438	0.000	0.436	0.000	0.000	0.000	0.000	0.000	0.000
KIF4A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF5B	0.762	0.879	1.232	1.087	1.270	1.878	0.940	1.634	0.967	1.947	1.384	1.300	1.045	1.455	0.390	1.100	0.754	1.127	0.725	1.162	1.175	1.574	1.003	0.457	0.995	0.461	1.030	1.446
KIFC1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KLF10	0.377	0.612	0.474	0.685	0.312	0.000	0.329	0.000	0.596	0.357	0.356	0.368	0.000	0.000	0.000	0.406	0.000	0.420	0.000	0.974	0.000	0.000	0.000	0.457	0.450	0.461	0.000	0.000
KLF17	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KLF2	0.000	0.248	0.000	0.000	0.000	0.314	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.390	0.000	0.000	0.000	0.000	0.000	0.000	0.739	0.000	0.000	0.759	0.000	0.000	0.000
KLF4	0.522	0.000	0.000	0.000	0.000	0.000	0.329	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.954	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KLF6	0.649	0.879	0.474	1.287	0.902	1.168	1.082	0.602	0.596	1.000	0.825	0.848	1.045	0.879	1.467	0.406	1.476	0.714	1.553	0.741	0.444	1.454	0.455	1.200	1.186	1.508	1.387	1.824
KLHL24	0.206	0.754	0.265	0.283	0.000	0.314	0.000	0.345	0.342	0.000	0.000	0.000	0.653	0.385	0.000	0.000	0.000	0.000	0.427	0.000	0.000	0.000	0.000	0.000	0.000	0.461	0.000	0.000
KLHL34	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KMT5A	0.206	0.754	0.474	0.283	0.312	1.046	0.000	0.602	0.342	0.357	0.618	0.368	0.379	0.662	1.067	0.406	0.000	0.714	1.141	0.438	0.444	0.436	0.000	0.000	0.450	0.000	0.000	0.000
KNL1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KNSTRN	0.000	0.248	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.390	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KNTC1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.342	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.321	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KPNA2	0.206	0.447	0.265	0.504	0.549	0.000	0.329	0.602	0.596	0.000	0.000	0.000	0.000	0.000	0.390	0.000	0.446	0.000	0.000	0.000	0.444	0.000	0.455	0.457	0.000	0.461	0.000	0.000
KPNB1	1.632	1.892	2.077	1.374	1.750	1.758	1.866	2.179	1.624	1.744	1.271	2.038	1.876	1.653	2.155	1.506	1.179	1.739	1.141	1.457	1.335	1.681	1.494	1.827	0.995	1.630	1.030	2.174
KRT17	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KRT18	0.000	0.447	0.265	0.504	0.549	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KRT19	0.000	0.248	0.000	0.504	0.000	0.000	0.000	0.602	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.754	0.000	0.427	0.000	0.000	0.000	0.000	0.000	0.450	0.000	0.000	0.000
KRT7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KRT8	0.000	0.000	0.000	0.504	0.000	0.000	0.000	0.975	0.000	0.000	0.000	0.368	0.000	0.000	0.000	0.000	0.000	0.420	0.000	0.000	0.000	0.000	0.000	0.000	0.450	0.000	0.000	0.000
KRTAP2-3	0.000	0.000	0.000	1.374	0.000	0.000	0.000	0.345	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KYNU	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.602	0.000	0.000	0.000	0.000	0.000	0.000	0.390	0.000	0.000	0.000	0.427	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
L1TD1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LAG3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LAMA5	0.000	0.248	0.000	0.000	0.000	0.314	0.000	0.602	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.420	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LAMC3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LBH	0.206	0.000	0.474	0.504	0.000	0.000	0.000	0.000	0.596	0.620	0.356	0.000	0.379	0.000	0.000	0.000	0.446	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LBR	0.000	0.248	0.000	0.283	0.312	0.314	0.000	0.345	0.596	0.000	0.618	0.848	0.000	0.000	0.000	0.000	0.000	0.420	0.000	0.741	0.444	0.000	0.000	0.457	0.450	0.000	0.000	0.500
LCE2A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LDHA	1.586	1.756	2.313	2.412	2.571	2.826	1.666	2.624	1.962	1.666	2.529	2.724	1.876	2.141	2.260	3.070	1.705	2.812	1.141	2.281	1.701	2.975	2.378	2.385	2.861	1.926	2.417	1.923
LDLR	0.000	0.447	0.000	0.504	0.741	0.314	0.000	0.345	0.000	0.620	0.356	0.637	0.868	0.385	0.390	0.694	0.000	1.537	0.000	0.000	0.751	0.436	0.000	0.770	0.000	0.461	0.789	0.500
LEF1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LFNG	0.000	0.000	0.000	0.000	0.000	0.314	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.420	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LGALS9	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LGMN	0.956	0.447	0.474	0.504	1.270	0.000	0.000	0.000	0.799	0.000	0.825	1.023	0.868	0.000	0.669	0.000	0.754	0.000	0.427	0.974	0.000	0.436	0.455	0.770	1.186	0.776	1.225	1.081
LGR4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.368	0.000	0.385	0.000	0.000	0.000	0.000	0.000	0.000	0.444	0.000	0.766	0.000	0.000	0.000	0.470	0.000
LIG1	0.000	0.000	0.265	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.356	0.000	0.379	0.000	0.000	0.000	0.000	0.420	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LIMA1	1.797	1.706	1.395	2.022	1.162	2.395	1.317	1.459	1.773	2.304	2.112	1.517	0.868	2.085	2.354	1.611	1.973	2.289	1.434	1.457	1.968	2.023	1.911	2.074	1.605	2.154	1.387	1.923
LIMCH1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LIN9	0.206	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.436	0.000	0.000	0.000	0.000	0.000	0.000
LINC00517	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.357	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.455	0.000	0.000	0.000	0.000	0.000
LINC00968	0.000	0.000	0.000	0.000	0.000	0.000	0.329	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LINC01133	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LINC01220	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LINC01305	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LINC01366	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LINC01503	1.190	0.248	0.000	1.527	0.000	0.000	0.775	0.602	0.000	0.000	0.000	0.000	0.000	0.385	0.390	0.000	0.000	0.420	0.427	0.438	0.000	0.000	0.455	0.000	0.759	0.776	0.000	0.832
LINC01705	0.377	0.248	0.000	0.000	0.000	0.314	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LINC01829	0.000	0.000	0.000	0.000	0.000	0.314	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
