GeneSymbol	A21_05_C2_P5_545951	A21_05_C2_P5_384994	A21_05_C2_P5_221712	A21_05_C2_P5_601556	A21_05_C2_P5_49590	A21_05_C2_P5_118756	A21_05_C2_P5_203250	A21_05_C2_P5_654053	A21_05_C2_P5_883316	A21_05_C2_P5_70210	A21_05_C2_P5_549054	A21_05_C2_P5_426546	A21_05_C2_P5_594341	A21_05_C2_P5_463199	A21_05_C2_P5_848473	A21_05_C2_P5_709356	A21_05_C2_P5_871294	A21_05_C2_P5_568837	A21_05_C2_P5_326028	A21_05_C2_P5_74255	A21_05_C2_P5_458390	A21_05_C2_P5_638128	A21_05_C2_P5_12534	A21_05_C2_P5_602273	A21_05_C2_P5_474110	A21_05_C2_P5_365897	A21_05_C2_P5_876552	A21_05_C2_P5_709733	A21_05_C2_P5_436945	A21_05_C2_P5_1191	A21_05_C2_P5_473595	A21_05_C2_P5_618353	A21_05_C2_P5_631078	A21_05_C2_P5_762777	A21_05_C2_P5_711218	A21_05_C2_P5_94948	A21_05_C2_P5_441382	A21_05_C2_P5_145873	A21_05_C2_P5_319708	A21_05_C2_P5_560698	A21_05_C2_P5_716471	A21_05_C2_P5_884718
ENPP2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.568	0.000	0.583	0.000	0.990	0.000	0.000	0.000	1.053	0.000	0.000	0.000	0.675	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.851	0.000	0.000	0.000	0.000	0.000
EPAS1	0.854	0.459	0.000	0.000	0.527	0.525	0.878	0.887	0.000	0.542	0.000	0.000	0.916	0.566	0.000	0.000	0.000	0.000	0.593	0.613	0.000	0.617	0.000	0.659	0.000	0.000	0.674	0.675	1.088	0.000	0.730	0.000	0.000	0.000	0.000	0.000	1.304	0.000	0.000	0.000	0.000	0.000
EPDR1	0.854	0.000	0.451	0.000	0.000	0.525	0.000	0.000	0.000	0.542	0.542	0.000	0.000	0.000	0.000	0.000	0.930	0.000	0.963	0.000	0.615	0.000	0.000	0.000	0.663	0.000	0.000	0.000	0.000	0.710	1.147	0.000	0.000	0.000	0.000	0.000	0.000	0.860	0.000	0.958	0.000	1.096
EPHA1-AS1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EPHA3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EPHA4	0.371	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EPHB1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.566	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.827	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EPHB2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.958	0.000	0.000
EPS8L1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EPSTI1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.593	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.730	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ERCC6L	0.000	0.000	0.000	0.501	0.000	0.000	0.000	0.000	0.000	0.542	0.000	0.000	0.000	0.000	0.934	0.000	0.000	0.583	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.727	0.000	0.000	0.000	0.831	0.000	0.000	0.000	0.958	0.000	0.000
EREG	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ERRFI1	0.371	0.773	0.761	0.833	0.527	0.868	0.000	1.350	0.000	0.891	0.000	0.558	0.000	0.000	0.572	0.000	1.194	0.583	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.664	1.073	0.675	0.000	1.120	0.000	0.000	0.000	1.274	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ERVK9-11	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ESCO2	0.000	0.459	0.451	0.000	0.000	0.000	0.000	0.539	0.000	0.000	0.000	0.558	0.560	0.926	0.000	0.000	1.403	0.000	0.593	0.990	1.482	0.000	0.642	0.000	0.663	0.664	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.581	0.000	0.000	0.000	0.860	0.000	0.958	0.000	0.000
ESPL1	0.000	0.000	0.000	0.000	0.000	0.525	0.000	0.000	0.546	0.000	0.000	0.558	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.663	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ETV1	0.000	0.459	0.451	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.617	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EXO1	0.371	0.000	0.000	0.000	0.000	0.000	0.878	0.539	0.000	0.000	0.000	0.000	0.560	0.000	0.572	0.568	0.569	0.000	0.000	0.000	0.000	0.617	0.642	0.000	0.000	0.000	0.674	0.000	0.000	0.710	0.000	0.000	0.741	0.000	0.000	0.000	0.000	0.000	0.000	0.958	0.000	1.096
EXOSC8	0.371	0.773	0.451	0.000	0.527	0.868	0.000	0.000	0.546	0.000	0.542	0.914	0.916	0.566	0.000	0.000	0.000	0.000	0.000	0.613	0.000	0.000	0.000	0.000	0.000	1.060	1.073	0.000	0.000	0.000	0.000	1.143	0.741	0.000	0.000	0.000	0.000	0.860	0.000	0.000	0.000	0.000
EXOSC9	0.642	1.204	0.451	0.833	0.527	0.000	0.532	0.000	1.362	0.542	0.000	0.000	0.916	0.566	0.000	0.568	1.723	0.583	0.000	0.990	0.000	0.617	1.309	0.000	0.663	0.664	1.073	0.000	1.088	0.000	0.730	0.727	0.000	1.581	0.839	1.278	0.000	0.860	0.000	1.761	0.000	0.000
EYA1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EYA2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EYA4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.730	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EZH2	1.029	0.459	0.761	0.833	0.527	0.525	0.000	0.000	0.000	0.000	0.891	0.558	0.000	0.926	0.000	0.000	0.000	0.949	0.593	0.613	0.994	0.995	0.642	0.659	1.058	0.000	0.674	0.675	0.685	1.120	0.000	1.663	0.741	0.000	0.000	1.278	0.851	0.860	0.872	0.958	0.972	0.000
EZR	1.178	0.000	1.188	1.448	1.768	1.122	1.134	1.145	1.156	1.149	0.542	1.702	0.560	1.570	1.581	1.193	1.723	1.600	1.619	1.263	0.994	1.484	0.642	1.735	0.663	1.060	0.674	0.675	0.685	0.710	1.147	0.727	0.000	1.816	1.598	1.278	0.000	1.865	1.331	1.438	0.000	0.000
F11R	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
F13A1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
F2R	0.000	0.459	1.188	0.000	0.000	0.525	0.000	0.000	0.897	0.542	0.891	0.558	0.560	0.000	0.000	0.568	0.569	0.000	0.963	0.000	0.000	0.995	1.030	0.000	0.663	0.000	0.000	1.074	0.000	0.710	0.000	1.436	0.000	0.000	0.000	0.831	0.851	0.860	0.000	0.000	0.000	1.096
F3	0.000	0.000	0.000	0.501	1.329	0.525	0.000	0.000	0.000	0.000	0.542	0.000	0.916	0.000	1.581	0.000	1.576	0.000	0.000	0.000	0.615	0.000	0.000	0.000	0.000	1.896	0.000	0.000	0.685	0.710	0.730	0.000	0.000	1.816	0.000	0.000	0.000	1.316	0.000	0.958	0.000	0.000
FABP3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FABP4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FABP5	0.371	0.000	1.188	0.000	0.000	0.525	0.532	0.000	0.546	0.542	0.542	0.000	0.000	0.566	0.000	0.928	0.000	0.583	0.000	0.613	0.000	0.000	0.642	0.000	0.000	0.000	0.000	0.000	0.000	0.710	0.000	0.727	0.000	0.000	0.000	1.586	0.000	0.860	0.000	0.000	0.000	0.000
FADS1	0.000	0.773	0.000	0.501	1.126	0.000	0.532	0.000	0.897	0.000	0.000	0.000	0.560	0.566	0.000	0.568	0.930	0.583	0.000	0.000	0.000	0.000	1.309	0.659	1.058	0.664	0.000	0.000	0.000	1.636	0.000	0.727	0.741	0.000	0.000	0.000	0.000	1.628	1.331	1.761	0.000	0.000
FAIM2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FAM107B	0.000	0.000	0.761	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.566	0.000	0.000	0.000	0.000	0.000	1.804	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.147	0.000	0.000	0.000	0.000	0.000	0.000	0.860	0.000	0.000	0.972	0.000
FAM111A	0.000	0.000	0.000	0.501	0.000	0.525	0.532	0.539	0.000	0.000	0.000	0.558	0.916	0.000	0.000	0.000	0.000	0.949	0.000	0.613	0.994	0.995	0.000	0.659	0.000	0.000	0.000	0.000	0.000	0.000	0.730	0.727	0.000	0.000	0.000	1.278	0.000	0.000	0.000	1.761	0.000	0.000
FAM111B	0.000	0.000	0.000	0.000	0.527	1.325	1.134	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.572	0.568	0.569	1.427	0.000	0.000	0.615	0.617	1.309	0.000	0.000	0.000	0.000	0.000	0.000	0.710	0.000	0.727	0.000	0.000	0.000	0.000	0.000	0.860	0.000	0.958	0.000	0.000
FAM13C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FAM155A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FAM180A	0.642	0.459	0.000	0.501	0.000	0.000	0.000	0.539	0.000	0.542	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.593	0.000	0.000	0.000	0.642	0.000	0.000	1.563	0.000	0.000	0.000	0.000	0.730	0.000	0.000	0.827	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FAM20A	0.000	0.459	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.916	1.189	0.000	0.000	0.000	0.000	0.000	0.000	0.615	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FAM43A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.542	0.558	0.000	0.000	0.572	0.000	0.569	0.000	0.000	0.000	0.615	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.685	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.972	0.000
FAM72D	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FAM83D	1.308	0.773	0.451	1.082	0.000	0.000	0.532	0.000	0.897	0.891	0.542	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.994	0.000	0.000	0.000	0.663	0.000	0.000	0.675	0.000	0.000	0.000	0.000	0.741	0.000	0.000	0.831	0.000	0.000	0.000	0.958	0.000	0.000
FAM83F	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FANCA	0.000	0.000	0.000	0.000	0.000	0.000	0.532	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.572	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FANCD2	0.000	0.459	0.451	0.833	0.527	0.000	0.000	0.000	0.546	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.583	0.000	0.000	0.000	0.000	0.642	0.000	0.663	0.664	0.674	0.000	1.088	0.000	0.000	0.000	0.000	0.000	0.000	0.831	0.000	0.860	0.000	0.000	0.000	0.000
FANCI	0.371	0.459	0.451	0.833	0.527	0.000	0.000	0.000	0.546	0.542	0.000	0.000	0.000	0.566	0.572	0.568	0.000	0.583	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.730	1.143	0.741	1.274	1.598	0.000	0.000	0.860	0.000	0.000	1.456	0.000
FANCM	0.000	0.459	0.000	0.000	0.000	0.000	0.532	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.593	0.613	0.615	0.617	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.851	0.000	0.000	0.958	0.000	0.000
FAP	1.423	1.204	0.451	0.833	0.871	0.868	1.134	0.539	0.000	0.891	0.891	1.176	0.560	0.566	0.572	1.721	0.569	0.949	0.593	0.990	0.615	0.000	0.642	0.659	1.561	0.664	0.000	0.000	1.088	0.710	1.147	1.143	0.741	1.581	1.834	0.000	2.341	0.000	0.872	0.000	0.972	1.096
FAR2P2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FARSB	0.000	1.011	0.451	1.082	0.000	0.000	0.878	0.000	0.000	0.542	1.150	0.558	1.179	0.926	0.572	0.928	0.000	1.216	0.593	0.613	0.000	0.000	0.000	0.659	0.000	0.000	1.073	0.675	0.000	1.120	1.147	1.143	0.000	1.274	0.839	0.000	1.304	1.316	0.000	0.000	0.000	1.096
FBLN1	0.000	0.000	0.451	0.000	0.871	0.000	0.000	0.539	0.000	0.000	0.000	0.558	0.000	1.189	1.581	0.000	0.000	0.000	0.593	0.613	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.143	0.000	0.000	1.289	0.000	0.851	0.000	0.000	0.958	0.000	0.000
FBLN2	1.619	1.365	0.761	0.833	0.527	0.868	0.878	0.000	0.000	0.542	0.000	0.000	0.916	1.189	0.934	0.000	0.000	0.583	1.233	1.263	0.994	1.484	1.706	0.000	0.000	1.060	1.073	0.000	0.685	0.710	1.147	1.436	0.000	0.000	0.000	0.000	1.304	0.000	1.331	0.000	1.456	1.096
FBLN5	0.371	1.011	0.761	0.000	0.871	1.122	0.878	0.887	0.000	0.542	0.000	0.914	0.916	0.566	1.199	0.000	0.000	1.216	1.445	0.613	0.615	0.995	0.642	0.000	0.000	1.060	0.000	0.675	1.088	0.710	0.730	0.727	0.000	0.000	1.289	0.831	1.304	0.000	0.872	0.000	0.000	0.000
FBN1	2.302	2.491	1.983	2.685	2.832	2.068	2.383	2.005	1.678	1.670	1.670	2.372	2.904	2.154	2.752	1.963	1.723	2.272	2.746	1.654	1.659	2.684	2.304	1.555	1.561	2.431	2.363	2.531	2.625	1.974	2.262	2.458	2.026	1.816	2.738	2.012	2.042	2.218	1.644	2.629	0.000	2.830
FBN2	0.000	1.011	0.000	0.000	0.000	0.868	0.000	0.887	0.546	1.149	0.000	0.000	0.000	0.000	0.000	0.000	1.194	0.000	0.593	0.000	0.000	0.000	0.642	0.000	0.663	0.664	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.289	0.000	0.000	1.628	0.000	0.000	0.000	1.096
FBXO32	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.663	0.000	0.000	0.675	0.000	0.000	0.000	0.000	0.000	0.000	0.839	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FBXO43	0.000	0.000	0.000	0.000	0.000	0.000	0.532	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.659	0.663	0.664	0.000	0.000	0.685	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FBXO5	0.642	0.459	0.000	0.833	0.000	0.868	0.532	1.145	0.897	1.525	1.355	0.558	0.000	0.000	0.572	1.193	0.569	0.583	0.593	0.613	1.267	0.000	0.642	0.659	1.058	0.000	1.760	0.675	1.779	1.411	1.147	0.000	1.457	0.000	0.000	1.586	0.000	0.000	0.000	1.438	0.000	1.096
FCMR	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FDXR	0.371	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.546	0.000	0.000	0.000	0.000	0.000	0.572	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.053	0.663	0.664	0.674	0.000	0.000	0.000	0.000	0.727	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FEN1	0.371	1.204	0.000	0.000	0.527	1.122	0.878	0.887	0.546	0.542	0.000	0.000	0.000	0.000	0.934	0.000	0.000	0.583	0.000	0.000	0.994	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.411	0.730	0.000	0.000	1.274	0.000	0.831	0.000	0.000	0.000	1.438	0.000	0.000
FERMT1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.569	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FGD4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.642	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FGD6	0.000	0.000	0.000	0.000	0.000	0.525	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FGF1	0.000	0.459	0.000	0.000	0.527	0.000	0.000	0.000	0.546	0.000	0.542	0.558	0.000	0.566	0.000	0.000	0.930	0.000	0.000	0.000	0.000	0.000	0.000	0.659	0.000	0.664	0.674	1.074	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.860	0.000	0.000	0.000	0.000
FGF18	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FGF2	2.047	1.365	0.761	0.833	2.234	2.152	1.338	1.145	0.000	1.354	1.355	0.558	2.140	0.000	2.166	1.193	0.569	0.949	2.208	1.654	1.659	2.057	1.857	1.735	1.341	1.060	2.046	1.914	1.933	1.411	1.852	0.727	1.457	0.000	1.598	0.831	2.042	0.000	0.000	0.000	0.972	2.395
FGF5	0.000	0.773	0.997	0.501	0.000	0.525	0.000	1.350	0.897	0.542	1.355	0.914	0.560	1.398	0.000	0.928	0.000	1.216	1.233	0.000	0.994	0.000	1.989	0.000	0.000	1.060	0.000	1.761	0.000	0.710	0.730	0.000	0.000	1.816	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FGF7	0.000	0.773	0.000	0.000	0.000	0.000	0.878	0.000	0.000	0.000	1.525	0.000	1.179	0.926	0.572	0.000	0.930	0.000	0.000	0.000	0.615	1.484	0.000	0.000	0.000	0.000	0.000	1.074	0.000	0.000	0.730	0.000	0.000	0.827	0.000	0.000	1.304	0.000	0.000	0.000	0.000	0.000
FHAD1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FHL1	0.000	1.734	1.188	1.282	0.871	2.368	1.507	2.259	2.019	1.670	0.542	1.384	2.048	1.398	1.971	0.000	2.160	0.949	2.208	0.990	2.055	1.942	0.000	0.000	1.058	2.511	2.163	2.605	2.183	0.710	1.668	0.727	1.870	2.304	0.000	2.012	0.000	2.218	2.374	2.505	2.025	1.607
FHL2	1.423	1.504	1.715	2.592	1.642	1.876	2.167	2.259	2.019	1.797	1.355	0.914	1.179	2.154	2.251	0.568	2.322	2.351	2.208	1.804	1.659	2.254	1.527	2.020	1.741	2.028	2.163	2.738	2.066	0.710	1.668	1.436	2.026	1.816	0.839	2.012	1.304	2.218	1.882	0.958	1.456	1.943
FIBCD1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.659	0.000	0.000	0.000	0.000	0.685	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FIBIN	1.029	0.000	0.000	0.000	0.000	0.525	0.000	0.000	0.000	0.000	0.000	0.558	0.560	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FILIP1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
